condition,checkpoint,n_episodes,n_seeds,success,collision,truncation,mean_utility,mean_Q_margin,seeds_ge_0_75
double_dqn,0,320,20,0.24375,0.215625,0.540625,0.6114343053806828,0.09101036366918129,3
double_dqn,10000,320,20,0.603125,0.20625,0.190625,0.7334165561240775,0.046815115697943374,6
double_dqn,25000,320,20,0.721875,0.05625,0.221875,0.7375177438152262,0.02968418653819136,11
double_dqn,50000,320,20,0.64375,0.0625,0.29375,0.7332893175966348,0.01988415702284018,9
double_dqn,75000,320,20,0.715625,0.075,0.209375,0.7929130509049005,0.014246091001415351,12
double_dqn,100000,320,20,0.759375,0.046875,0.19375,0.8088373818210167,0.016539490976253988,13
double_dqn,150000,320,20,0.775,0.059375,0.165625,0.8122716393470414,0.017950258841425877,15
double_dqn,200000,320,20,0.853125,0.04375,0.103125,0.8629750833909299,0.016015374752578842,18
double_dqn,250000,320,20,0.78125,0.04375,0.175,0.8298445836101281,0.017041495998226953,14
double_dqn,300000,320,20,0.75625,0.08125,0.1625,0.8344190383606265,0.02354718885122135,13
vanilla_dqn,0,320,20,0.24375,0.215625,0.540625,0.6114343053806828,0.09101036366918129,3
vanilla_dqn,10000,320,20,0.45,0.153125,0.396875,0.7094767337911153,0.06513071516661291,4
vanilla_dqn,25000,320,20,0.509375,0.059375,0.43125,0.6576569207984229,0.03599241034180108,6
vanilla_dqn,50000,320,20,0.184375,0.021875,0.79375,0.5268452694304411,0.02435181188636794,0
vanilla_dqn,75000,320,20,0.18125,0.040625,0.778125,0.5159990765885977,0.015779845229505766,0
vanilla_dqn,100000,320,20,0.203125,0.040625,0.75625,0.5300251161033758,0.01616117478285569,0
vanilla_dqn,150000,320,20,0.396875,0.059375,0.54375,0.6464133389835145,0.019789196523275574,6
vanilla_dqn,200000,320,20,0.515625,0.06875,0.415625,0.6760423048165739,0.01674742222032108,7
vanilla_dqn,250000,320,20,0.671875,0.05625,0.271875,0.7768547409364719,0.016660588859272317,11
vanilla_dqn,300000,320,20,0.6125,0.06875,0.31875,0.743027733999009,0.015011738844750211,10
