condition,seed,success_200k,success_250k,success_300k,late_collapse
vanilla_dqn,63001,0.875,1.0,0.4375,True
vanilla_dqn,63002,0.4375,0.125,0.25,False
vanilla_dqn,63003,0.75,1.0,0.5625,False
vanilla_dqn,63004,0.875,1.0,0.625,False
vanilla_dqn,63005,0.5625,0.5,0.8125,False
vanilla_dqn,63006,0.4375,0.5,0.75,False
vanilla_dqn,63007,0.8125,0.75,1.0,False
vanilla_dqn,63008,1.0,1.0,0.875,False
vanilla_dqn,63009,0.3125,0.9375,0.875,False
vanilla_dqn,63010,0.375,0.75,1.0,False
vanilla_dqn,63011,0.5,0.5625,0.5,False
vanilla_dqn,63012,0.5,0.375,0.3125,False
vanilla_dqn,63013,0.1875,0.5,0.0,False
vanilla_dqn,63014,0.0,0.1875,0.25,False
vanilla_dqn,63015,0.9375,1.0,1.0,False
vanilla_dqn,63016,1.0,0.75,0.75,False
vanilla_dqn,63017,0.125,0.3125,0.125,False
vanilla_dqn,63018,0.1875,0.5,0.8125,False
vanilla_dqn,63019,0.0,0.9375,0.8125,False
vanilla_dqn,63020,0.4375,0.75,0.5,True
double_dqn,63001,0.9375,0.8125,0.875,False
double_dqn,63002,0.5625,0.25,0.9375,False
double_dqn,63003,0.9375,1.0,0.9375,False
double_dqn,63004,0.9375,0.8125,1.0,False
double_dqn,63005,0.9375,0.9375,0.9375,False
double_dqn,63006,0.875,1.0,1.0,False
double_dqn,63007,0.75,1.0,0.0,True
double_dqn,63008,1.0,0.875,0.6875,False
double_dqn,63009,1.0,1.0,0.5,True
double_dqn,63010,0.875,1.0,0.4375,True
double_dqn,63011,1.0,1.0,1.0,False
double_dqn,63012,0.9375,0.5,1.0,False
double_dqn,63013,0.125,0.9375,0.75,False
double_dqn,63014,0.875,1.0,1.0,False
double_dqn,63015,1.0,0.9375,1.0,False
double_dqn,63016,0.9375,0.9375,0.625,False
double_dqn,63017,0.75,0.0625,0.0,True
double_dqn,63018,0.875,0.5,0.5625,False
double_dqn,63019,1.0,0.5,0.875,False
double_dqn,63020,0.75,0.5625,1.0,False
