episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
0,1.0,11.993800411766182,19,1,0,1,0,0,0,safe_merge,19,7.215482793203228,5.549559872297176,-1.0,0.5,0,1,0,0,0.5,19,0,0,5.429731580481301,0.02324408282348145,9.023244082823496
1,0.9762,11.477765998717508,18,1,0,1,0,0,0,safe_merge,18,7.873504693364737,6.2331902227614595,1.0,0.0,0,1,0,0,0.5,18,0,0,5.2331902227614595,3.9867511676684444,7.986751167668444
2,0.9525,11.082817746456293,23,1,0,1,0,0,0,safe_merge,23,7.539521888321528,5.694608382713064,0.0735205252099277,0.4315145602870045,1,1,0,0,0.3695652173913043,20,3,0,4.6946083827130645,-15.926479474790073,9.130455590843468
3,0.9287,8.4528228260603,12,1,0,1,0,0,0,safe_merge,12,8.931594485675966,8.035708568594345,1.0,0.0,0,1,0,0,0.5,12,0,0,7.225340796474072,5.4262022410665764,9.326202241066563
4,0.905,10.50099597770189,16,1,0,1,0,0,0,safe_merge,16,7.957193011291411,6.955381901731797,1.0,0.0,0,1,0,0,0.5,16,0,0,6.094866950806477,4.637449721273626,9.015465078221107
5,0.8812,7.996206522499695,11,1,0,1,0,0,0,safe_merge,11,9.971671289116403,8.634895578687962,0.3215797746172478,0.2566701755023586,0,1,0,0,0.5,11,0,0,7.6728547490421795,5.364915612526971,9.364915612526971
6,0.8575,10.220998880933852,51,1,0,1,0,0,0,safe_merge,51,-6.564474898777371,-12.517651447318231,-24.0,0.5,0,1,0,0,0.16666666666666666,34,17,0,1.5215642389562785,-1.0,7.216648015564203
7,0.8337,8.472276160369205,12,1,0,1,0,0,0,safe_merge,12,9.271466698954455,8.60480003228779,1.0,0.0,0,1,0,0,0.5,12,0,0,7.6048000322877884,5.621573041989933,8.254693689252306
8,0.81,-3.240827448009017,8,0,1,0,0,1,0,collision_without_merge,,11.039321949289564,9.590371726467279,0.005768485042098577,0.4921224711947403,1,0,0,1,0.5,8,0,0,8.706960744035191,5.773952910525708,9.673952910525681
9,0.7863,7.429996076286916,10,1,0,1,0,0,0,safe_merge,10,9.893120354486433,8.981375580476934,0.32599929219752016,0.2541482155263781,0,1,0,0,0.5,10,0,0,8.052563612469731,5.196585950404,9.698726658832289
10,0.7625,8.464385247378752,12,1,0,1,0,0,0,safe_merge,12,9.59279059278726,8.785306202973905,0.6398126777603161,0.10982575239375336,0,1,0,0,0.5,12,0,0,7.806988479827211,5.444613371380399,9.052853023473741
11,0.7388,13.5022325916907,22,1,0,1,0,0,0,safe_merge,22,6.917276840640056,5.26561518749653,0.0,0.5,0,1,0,0,0.5,22,0,0,4.541220358028878,0.2171903543344571,8.721556499470072
12,0.715,9.981029956052957,15,1,0,1,0,0,0,safe_merge,15,8.184317685021446,7.128485723776949,0.5589733547017355,0.14144778163403648,0,1,0,0,0.5,15,0,0,6.271316635229289,4.690068613132439,9.090427869754176
13,0.6913,7.9238889518926126,11,1,0,1,0,0,0,safe_merge,11,9.71685734828096,8.724367850274914,1.0,0.0,0,1,0,0,0.5,11,0,0,7.839127168345417,5.08134166684448,9.508590729988573
14,0.6675,-2.227941241389001,7,0,1,0,0,1,0,collision_without_merge,,10.766636386246047,9.46994338831695,0.09102228646078654,0.41250685138863497,1,0,0,1,0.5,7,0,0,8.46994338831695,7.76575415853452,8.761756305046333
15,0.6438,7.41376592637646,10,1,0,1,0,0,0,safe_merge,10,9.951685201803846,9.078248476389065,0.3553652882142461,0.2378084776817211,0,1,0,0,0.5,10,0,0,8.286365899785551,5.907664456385987,9.93244321724238
16,0.62,9.479036673192208,14,1,0,1,0,0,0,safe_merge,14,8.22644765112299,7.525329689767703,0.535761637852077,0.1511427133956833,0,1,0,0,0.5,14,0,0,6.665773272164456,5.240623008210264,9.140623008210264
17,0.5962,12.009955802696252,19,1,0,1,0,0,0,safe_merge,19,7.748230825090366,6.267276595216394,1.0,0.0,0,1,0,0,0.5,19,0,0,5.267276595216394,3.4056888005833343,8.090772849597386
18,0.5725,8.460851821044571,12,1,0,1,0,0,0,safe_merge,12,8.940515430371748,8.077931243231491,1.0,0.0,0,1,0,0,0.5,12,0,0,7.3101775414161025,5.283469168204405,9.18346916820442
