run_id,mode,seed,eval_safe_merge_success_rate,eval_unsafe_merge_rate,eval_collision_without_merge_rate,eval_non_merge_failure_rate,eval_collision_rate,eval_merge_success_rate,eval_mean_time_to_merge_success_only,eval_episode_length_mean,eval_min_experience,eval_final_min_experience,eval_gini_experience,eval_near_collision_steps,eval_mean_experience,eval_episode_reward,rawlsian_lambda,rawlsian_epsilon,deprecated_rawlsian_objective_scale,terminal_collision_penalty,merge_success_bonus,non_merge_failure_penalty,n_eval_seeds
egoistic_seed1_1782404162,egoistic,1,0.0,0.0,0.0,1.0,0.0,0.0,,100.0,-17.292237845518052,-26.3,0.5,0.0,-9.862461239442434,-5.238220253375299,1.0,1e-06,,5.0,2.0,3.0,10
egoistic_seed2_1782404170,egoistic,2,0.0,0.1,0.9,0.0,1.0,0.1,9.0,6.9,9.60086295987012,0.07824564129278597,0.4250631820281665,1.2,10.690838894151874,-5.65725381222357,1.0,1e-06,,5.0,2.0,3.0,10
egoistic_seed3_1782404177,egoistic,3,0.4,0.0,0.5,0.1,0.5,0.4,10.0,17.7,7.586043982711402,-2.6469430123928968,0.31015188338021965,0.7,8.748986403165073,-2.362569412112135,1.0,1e-06,,5.0,2.0,3.0,10
egoistic_seed4_1782404183,egoistic,4,0.8,0.2,0.0,0.0,0.2,1.0,12.3,12.3,8.386901744707826,0.6899794070617327,0.12077778554294552,0.2,9.432107185061659,1.2680069730131756,1.0,1e-06,,5.0,2.0,3.0,10
egoistic_seed5_1782404189,egoistic,5,0.0,0.0,0.0,1.0,0.0,0.0,,100.0,-12.326280411520049,-9.8,0.5,0.0,-7.467670680873972,-6.081029694806837,1.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed1_1782404200,rawlsian,1,0.0,0.0,0.0,1.0,0.0,0.0,,100.0,-10.585526994892689,0.877312120640152,0.03807286282966922,0.0,-6.692462809755474,-44.70862182368836,0.5,1e-06,,5.0,2.0,3.0,10
rawlsian_seed2_1782404212,rawlsian,2,0.0,0.0,0.0,1.0,0.0,0.0,,100.0,-9.71433705924426,0.877312120640152,0.03807286282966922,0.0,-6.413416447826828,-39.629575461759686,0.5,1e-06,,5.0,2.0,3.0,10
rawlsian_seed3_1782404221,rawlsian,3,0.3,0.3,0.4,0.0,0.7,0.6,10.166666666666666,9.3,9.429388976150848,0.3118272640776366,0.2622196499934093,0.6,10.197028388938904,1.9993325060570086,0.5,1e-06,,5.0,2.0,3.0,10
rawlsian_seed4_1782404227,rawlsian,4,0.9,0.1,0.0,0.0,0.1,1.0,11.6,11.6,8.62290915834681,0.5784707141254748,0.14946151600862426,0.2,9.4018196318135,7.633308208695591,0.5,1e-06,,5.0,2.0,3.0,10
rawlsian_seed5_1782404233,rawlsian,5,0.8,0.2,0.0,0.0,0.2,1.0,13.2,13.2,9.301544342813846,0.7287093660344551,0.09434629091794337,0.1,11.153219319774175,8.176364294075945,0.5,1e-06,,5.0,2.0,3.0,10
rawlsian_seed1_1782404239,rawlsian,1,0.9,0.1,0.0,0.0,0.1,1.0,16.8,16.8,6.704239746354569,0.9579201319158568,0.013323148725130341,0.0,10.114097231891098,15.636168100974814,1.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed2_1782404248,rawlsian,2,0.7,0.3,0.0,0.0,0.3,1.0,15.2,15.2,7.615515430869349,0.34550268646327487,0.2792376546500419,0.5,9.53340845220127,14.367658324652146,1.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed3_1782404254,rawlsian,3,1.0,0.0,0.0,0.0,0.0,1.0,12.1,12.1,8.499343974133206,0.5100417887030145,0.19034678685678022,0.3,9.427557010658466,14.529762134235572,1.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed4_1782404260,rawlsian,4,0.2,0.1,0.7,0.0,0.8,0.3,7.333333333333333,6.8,9.582646047285824,0.24667392654384002,0.32323498615843693,0.6,11.5738033563297,2.85167803197696,1.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed5_1782404266,rawlsian,5,0.7,0.3,0.0,0.0,0.3,1.0,22.7,22.7,5.636801056991783,0.7093188285921544,0.0947204149797261,0.0,8.202547343914794,14.017892354549526,1.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed1_1782404274,rawlsian,1,0.7,0.3,0.0,0.0,0.3,1.0,17.1,17.1,8.031695330522712,0.6136587363301836,0.14435394622594172,0.1,10.447786536176611,31.287347308097317,2.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed2_1782404282,rawlsian,2,0.2,0.8,0.0,0.0,0.8,1.0,21.7,21.7,7.320283993489508,0.18082440484648885,0.3638778032831642,0.8,8.752423736878049,37.09152873128007,2.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed3_1782404290,rawlsian,3,0.6,0.4,0.0,0.0,0.4,1.0,19.5,19.5,7.602547895213773,0.45657198019232464,0.22785427607545455,0.4,9.82149956239778,35.81759753578297,2.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed4_1782404297,rawlsian,4,0.3,0.7,0.0,0.0,0.7,1.0,22.0,22.0,7.55008108443824,0.32899687126193106,0.2787980082700838,0.5,8.74939378704131,36.524400959487274,2.0,1e-06,,5.0,2.0,3.0,10
rawlsian_seed5_1782404305,rawlsian,5,0.8,0.2,0.0,0.0,0.2,1.0,30.3,30.3,3.0245328251363124,-0.28960852665863956,0.3405867065391662,0.1,5.069415398018686,20.537953096383085,2.0,1e-06,,5.0,2.0,3.0,10
