episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
0,1.0,-5.8935016761528,9,0,1,0,0,1,0,collision_without_merge,,10.304029758189008,9.090169823403441,0.03277568663611296,0.4682644672408318,2,0,0,1,,0,0,0,,,
1,0.9762,2.492778736580072,24,1,0,1,0,0,0,safe_merge,24,6.077160217024751,3.434870695693302,1.0,0.0,0,1,0,0,,0,0,0,,,
2,0.9525,2.482789005757736,14,1,0,1,0,0,0,safe_merge,14,8.4133979225384,7.317526606428976,1.0,0.0,0,1,0,0,,0,0,0,,,
3,0.9287,2.370399610235489,30,1,0,1,0,0,0,safe_merge,30,2.476037159979854,0.418934956846288,-10.0,0.5,0,1,0,0,,0,0,0,,,
4,0.905,2.4314223649882285,11,1,0,1,0,0,0,safe_merge,11,9.672633859979868,8.184971485033932,0.44468774026927316,0.07651068818184203,0,1,0,0,,0,0,0,,,
5,0.8812,2.499010844241088,22,1,0,1,0,0,0,safe_merge,22,7.097594950548288,5.301935606117445,1.0,0.0,0,1,0,0,,0,0,0,,,
6,0.8575,2.448991141035899,19,1,0,1,0,0,0,safe_merge,19,7.430083534447852,5.4314856951147235,-1.0,0.5,0,1,0,0,,0,0,0,,,
7,0.8337,2.48897276913994,15,1,0,1,0,0,0,safe_merge,15,8.501395706986365,7.486365159325075,1.0,0.0,0,1,0,0,,0,0,0,,,
8,0.81,2.4852257267765325,30,1,0,1,0,0,0,safe_merge,30,4.258235736213959,1.8060035985117373,-1.0,0.5,0,1,0,0,,0,0,0,,,
9,0.7863,-5.759521831896724,9,0,1,0,0,1,0,collision_without_merge,,9.90185443652748,8.970893402155932,0.06593284152228689,0.43814540752105335,1,0,0,1,,0,0,0,,,
10,0.7625,2.431661646769019,11,1,0,1,0,0,0,safe_merge,11,9.622123294430976,9.005595705673052,0.6778146463363603,0.07709970014198819,0,1,0,0,,0,0,0,,,
11,0.7388,2.4726099122503897,12,1,0,1,0,0,0,safe_merge,12,9.144803242988315,8.555722540463568,1.0,0.0,0,1,0,0,,0,0,0,,,
12,0.715,-5.687601926081933,7,0,1,0,0,1,0,collision_without_merge,,10.380443373967088,9.131262193067702,0.18819773134939427,0.34161076360946674,1,0,0,1,,0,0,0,,,
13,0.6913,2.4446696532253283,11,1,0,1,0,0,0,safe_merge,11,9.585179824752913,9.092514672196359,1.0,0.0,0,1,0,0,,0,0,0,,,
14,0.6675,2.2456656092571823,31,1,0,1,0,0,0,safe_merge,31,0.2705591869205598,-5.176541115986529,-11.0,0.5,0,1,0,0,,0,0,0,,,
15,0.6438,2.4738294431032717,14,1,0,1,0,0,0,safe_merge,14,8.331308131198497,7.170776634819625,0.6915994755666952,0.09115648499772355,0,1,0,0,,0,0,0,,,
16,0.62,2.509148063724023,13,1,0,1,0,0,0,safe_merge,13,9.050758124095076,8.38312355090909,1.0,0.0,0,1,0,0,,0,0,0,,,
17,0.5962,-7.62895866052527,7,0,1,0,0,1,0,collision_without_merge,,11.457488399748266,10.28200512170653,0.0048236505376078485,0.4935396674512518,1,0,0,1,,0,0,0,,,
18,0.5725,-5.95320247056129,6,0,1,0,0,1,0,collision_without_merge,,11.262516196014866,9.634159416345861,0.032230736669641345,0.4687756472224134,1,0,0,1,,0,0,0,,,
19,0.5488,2.776917474716728,23,1,0,1,0,0,0,safe_merge,23,7.239104309509334,3.8017856811361255,-1.1580220094077163,0.5,0,1,0,0,,0,0,0,,,
20,0.525,2.397921947596431,30,1,0,1,0,0,0,safe_merge,30,2.5766759685412857,-1.1468023078678697,-5.0,0.5,0,1,0,0,,0,0,0,,,
21,0.5012,2.5167345748030994,19,1,0,1,0,0,0,safe_merge,19,7.957866115239131,6.439311313716836,0.8959140402247174,0.027450073570567834,0,1,0,0,,0,0,0,,,
22,0.4775,2.4439481719033394,11,1,0,1,0,0,0,safe_merge,11,9.143458960473241,7.878189370252943,0.5622092719125665,0.12454588897774332,0,1,0,0,,0,0,0,,,
23,0.4538,-5.645614756542257,7,0,1,0,0,1,0,collision_without_merge,,10.334609640424492,9.27903175074975,1.0,0.0,0,0,0,1,,0,0,0,,,
24,0.43,2.440959937141061,14,1,0,1,0,0,0,safe_merge,14,7.960115911609724,6.880206325972715,1.0,0.0,0,1,0,0,,0,0,0,,,
25,0.4062,2.4903386592007895,16,1,0,1,0,0,0,safe_merge,16,7.7857427419806875,6.868980084493841,0.5330827417106423,0.15228051480390525,0,1,0,0,,0,0,0,,,
26,0.3825,2.5015595936976895,14,1,0,1,0,0,0,safe_merge,14,8.926911633153868,7.024572604374148,0.6246770826922734,0.11550692790156636,0,1,0,0,,0,0,0,,,
27,0.3588,2.446889967596327,10,1,0,1,0,0,0,safe_merge,10,10.479981457865028,9.838246089574628,1.0,0.0,0,1,0,0,,0,0,0,,,
28,0.335,2.4523782298397796,10,1,0,1,0,0,0,safe_merge,10,10.514686036846488,9.998266283844703,0.5881213161115186,0.12967481756902455,0,1,0,0,,0,0,0,,,
29,0.3113,-3.4198855267784065,15,1,1,0,1,0,0,unsafe_merge,15,9.930405339340703,8.971564426715888,0.06900127992064718,0.435452575018648,1,1,0,1,,0,0,0,,,
30,0.2875,-3.4458612928525927,11,1,1,0,1,0,0,unsafe_merge,11,10.212021750333362,9.184858574817056,1.0,0.0,0,1,0,1,,0,0,0,,,
31,0.2638,2.4807695068979303,13,1,0,1,0,0,0,safe_merge,13,8.818225418765566,8.35081405001395,1.0,0.0,0,1,0,0,,0,0,0,,,
32,0.24,-3.390399556569784,15,1,1,0,1,0,0,unsafe_merge,15,9.843743687194667,8.865810109862117,0.08659664340910535,0.42030470190169567,1,1,0,1,,0,0,0,,,
33,0.2163,2.4612568159646706,12,1,0,1,0,0,0,safe_merge,12,9.10085522722199,8.801890674203188,1.0,0.0,0,1,0,0,,0,0,0,,,
34,0.1925,-3.5166890050006447,10,1,1,0,1,0,0,unsafe_merge,10,10.001817864972484,8.842916771212723,0.7662603159576561,0.06616796004829317,0,1,0,1,,0,0,0,,,
35,0.1688,2.5170803634288297,13,1,0,1,0,0,0,safe_merge,13,9.334329136611073,8.835939501286914,1.0,0.0,0,1,0,0,,0,0,0,,,
36,0.145,2.589449143375847,12,1,0,1,0,0,0,safe_merge,12,10.413869596141131,9.289530582285558,0.4936815761746895,0.16948673395369473,0,1,0,0,,0,0,0,,,
37,0.1212,2.2965449486054195,27,1,0,1,0,0,0,safe_merge,27,0.6955978682404906,-5.904701607333027,-13.0,0.5,0,1,0,0,,0,0,0,,,
38,0.0975,2.2912577053867866,29,1,0,1,0,0,0,safe_merge,29,1.0210321658962977,-3.67949561801664,-10.0,0.5,0,1,0,0,,0,0,0,,,
39,0.0738,2.4994023108197947,16,1,0,1,0,0,0,safe_merge,16,8.457023831395054,7.206190906279877,0.9096593508497065,0.023653603222505648,0,1,0,0,,0,0,0,,,
40,0.05,-5.526915208302336,9,0,1,0,0,1,0,collision_without_merge,,10.610617467975427,9.319172953916548,1.0,0.0,0,0,0,1,,0,0,0,,,
41,0.05,-7.546383105848111,100,0,0,0,0,0,1,max_steps_unmerged,,-24.78088696181793,-46.11676621169622,-96.0,0.5,0,0,1,0,,0,0,0,,,
42,0.05,2.6089375117129947,14,1,0,1,0,0,0,safe_merge,14,9.088632661805134,7.704519117136084,1.0,0.0,0,1,0,0,,0,0,0,,,
43,0.05,2.8771597389788597,21,1,0,1,0,0,0,safe_merge,21,9.119537898614576,7.756852247331618,1.0,0.0,0,1,0,0,,0,0,0,,,
44,0.05,2.528184965212664,11,1,0,1,0,0,0,safe_merge,11,10.125043687822608,8.839233150855257,0.9191798522685009,0.021055907719114586,0,1,0,0,,0,0,0,,,
45,0.05,2.4050664746169526,10,1,0,1,0,0,0,safe_merge,10,10.352459042337607,9.753328338528522,0.3334234551756949,0.24994930988988595,0,1,0,0,,0,0,0,,,
46,0.05,2.389766742255674,11,1,0,1,0,0,0,safe_merge,11,9.261051320727363,8.336299043754845,0.2976394228791759,0.27063010137378574,0,1,0,0,,0,0,0,,,
47,0.05,2.4155612057087326,11,1,0,1,0,0,0,safe_merge,11,9.776450347239894,8.64747884779968,0.260788054461984,0.29315472292187117,0,1,0,0,,0,0,0,,,
48,0.05,-3.1437590139881246,19,1,1,0,1,0,0,unsafe_merge,19,9.29065357931374,8.02277365615079,0.09655431260804564,0.4119475328327322,1,1,0,1,,0,0,0,,,
49,0.05,2.421189647014634,11,1,0,1,0,0,0,safe_merge,11,9.5230575820727,8.654932061941432,0.29138500342080204,0.2743624072999602,0,1,0,0,,0,0,0,,,
50,0.05,2.501310568297796,13,1,0,1,0,0,0,safe_merge,13,8.917353678504107,7.3779684055018135,1.0,0.0,0,1,0,0,,0,0,0,,,
51,0.05,2.2402069317538036,34,1,0,1,0,0,0,safe_merge,34,2.8985774791243255,1.8066018698858803,0.2501235248643035,0.29992095189837054,0,1,0,0,,0,0,0,,,
52,0.05,-5.816717492458102,9,0,1,0,0,1,0,collision_without_merge,,9.645486069542601,8.348208963923943,0.05236480986986032,0.4502408201236452,1,0,0,1,,0,0,0,,,
53,0.05,2.417896327321887,11,1,0,1,0,0,0,safe_merge,11,9.64752405148386,9.067440828835894,0.2952785450709177,0.27203471315526917,0,1,0,0,,0,0,0,,,
54,0.05,-3.693723581325263,11,1,1,0,1,0,0,unsafe_merge,11,9.777132208759934,8.437538992972092,0.0840247727378973,0.42248814339761065,2,1,0,1,,0,0,0,,,
55,0.05,1.8146753832519606,41,1,0,1,0,0,0,safe_merge,41,0.554879225202314,-0.754490092097909,1.0,0.0,0,1,0,0,,0,0,0,,,
56,0.05,2.4423561416925965,12,1,0,1,0,0,0,safe_merge,12,9.077095327142445,8.064516309815497,0.39783334494017647,0.21539286397749868,0,1,0,0,,0,0,0,,,
57,0.05,2.6092962435561797,45,1,0,1,0,0,0,safe_merge,45,2.3372061759441505,0.1330766608839945,1.0,0.0,0,1,0,0,,0,0,0,,,
58,0.05,2.440873466503984,12,1,0,1,0,0,0,safe_merge,12,9.248532874159409,8.309292620184708,0.1841473751529183,0.3444894790826709,1,1,0,0,,0,0,0,,,
59,0.05,2.4429137355832067,12,1,0,1,0,0,0,safe_merge,12,9.27543051386248,8.396508964408193,0.32520097472098475,0.2546025237496867,0,1,0,0,,0,0,0,,,
60,0.05,2.9467662905956327,25,1,0,1,0,0,0,safe_merge,25,7.4642228849878975,5.037543936636485,0.0,0.5,0,1,0,0,,0,0,0,,,
61,0.05,2.215023562784754,48,1,0,1,0,0,0,safe_merge,48,0.880246255712045,-1.0625157083851633,1.0,0.0,0,1,0,0,,0,0,0,,,
62,0.05,-3.3923728541522085,11,1,1,0,1,0,0,unsafe_merge,11,10.58524464773229,9.05950773606682,1.0,0.0,0,1,0,1,,0,0,0,,,
63,0.05,-4.953793651932888,100,0,0,0,0,0,1,max_steps_unmerged,,-8.28432490316903,-13.743619708296341,-48.0,0.5,0,0,1,0,,0,0,0,,,
64,0.05,2.462186983844526,10,1,0,1,0,0,0,safe_merge,10,10.003657149360624,9.101382745180228,0.7774606728014742,0.0048644444477981,0,1,0,0,,0,0,0,,,
65,0.05,2.4493906666856207,12,1,0,1,0,0,0,safe_merge,12,9.291581861412865,8.804381614483889,1.0,0.0,0,1,0,0,,0,0,0,,,
66,0.05,2.37482133726389,10,1,0,1,0,0,0,safe_merge,10,10.121203506396451,9.422414545248305,0.4175963740008495,0.20541941157603505,1,1,0,0,,0,0,0,,,
67,0.05,2.433761974344066,11,1,0,1,0,0,0,safe_merge,11,9.666404713912444,8.901734014734819,1.0,0.0,0,1,0,0,,0,0,0,,,
68,0.05,2.461848442760531,13,1,0,1,0,0,0,safe_merge,13,8.897105163766717,7.784547117856482,0.8579486530237483,0.03822800666344239,0,1,0,0,,0,0,0,,,
69,0.05,-3.3175551234930865,14,1,1,0,1,0,0,unsafe_merge,14,9.904352671987425,8.303579115148455,0.5812544857619455,0.13240927314627582,0,1,0,1,,0,0,0,,,
70,0.05,2.58994307227664,12,1,0,1,0,0,0,safe_merge,12,10.432289998170953,8.857539379892819,0.6944564475293553,0.09015975385975561,0,1,0,0,,0,0,0,,,
71,0.05,-3.6501208248461,10,1,1,0,1,0,0,unsafe_merge,10,10.304604928856685,9.67364062763782,0.16881352683413536,0.35556846925669516,1,1,0,1,,0,0,0,,,
72,0.05,2.3974474454867654,10,1,0,1,0,0,0,safe_merge,10,10.075280349886905,9.227167819478883,0.362250888610052,0.23407916879418011,0,1,0,0,,0,0,0,,,
73,0.05,2.372499091642332,11,1,0,1,0,0,0,safe_merge,11,9.761624895479095,8.804388636088023,0.6364007825240491,0.11109723894018209,1,1,0,0,,0,0,0,,,
74,0.05,2.46340167375012,13,1,0,1,0,0,0,safe_merge,13,8.808409645395546,7.820331725376054,0.888943500261739,0.02939645884667086,0,1,0,0,,0,0,0,,,
75,0.05,-4.807475628944977,100,0,0,0,0,0,1,max_steps_unmerged,,-7.606085419896565,-12.821600952205529,-39.0,0.5,0,0,1,0,,0,0,0,,,
76,0.05,2.447363502401103,12,1,0,1,0,0,0,safe_merge,12,9.165351779261309,8.29710880311798,0.5804096123449682,0.13274735371688062,0,1,0,0,,0,0,0,,,
77,0.05,2.418967112732741,11,1,0,1,0,0,0,safe_merge,11,9.37996654438125,8.609602743647635,0.6054764675044415,0.10254281083276862,0,1,0,0,,0,0,0,,,
