episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
0,1.0,21.493800411766184,19,1,0,1,0,0,0,safe_merge,19,7.215482793203228,5.549559872297176,-1.0,0.5,0,1,0,0,1.0,19,0,0,5.429731580481301,0.02324408282348145,9.023244082823496
1,0.9762,20.47776599871751,18,1,0,1,0,0,0,safe_merge,18,7.873504693364737,6.2331902227614595,1.0,0.0,0,1,0,0,1.0,18,0,0,5.2331902227614595,3.9867511676684444,7.986751167668444
2,0.9525,19.58281774645629,23,1,0,1,0,0,0,safe_merge,23,7.539521888321528,5.694608382713064,0.0735205252099277,0.4315145602870045,1,1,0,0,0.7391304347826086,20,3,0,4.6946083827130645,-15.926479474790073,9.130455590843468
3,0.9287,14.4528228260603,12,1,0,1,0,0,0,safe_merge,12,8.931594485675966,8.035708568594345,1.0,0.0,0,1,0,0,1.0,12,0,0,7.225340796474072,5.4262022410665764,9.326202241066563
4,0.905,18.500995977701887,16,1,0,1,0,0,0,safe_merge,16,7.957193011291411,6.955381901731797,1.0,0.0,0,1,0,0,1.0,16,0,0,6.094866950806477,4.637449721273626,9.015465078221107
5,0.8812,13.496206522499694,11,1,0,1,0,0,0,safe_merge,11,9.971671289116403,8.634895578687962,0.3215797746172478,0.2566701755023586,0,1,0,0,1.0,11,0,0,7.6728547490421795,5.364915612526971,9.364915612526971
6,0.8575,20.672998880933854,53,1,0,1,0,0,0,safe_merge,53,-6.807332213549863,-12.762268373834525,-24.0,0.5,0,1,0,0,0.3584905660377358,36,17,0,1.4264108714484944,-1.0,7.216648015564203
7,0.8337,13.436333504745964,11,1,0,1,0,0,0,safe_merge,11,9.856581828773189,8.660831635702356,0.18793065663486408,0.34179997747744917,1,1,0,0,1.0,11,0,0,7.750110223637753,5.621573041989933,8.795725922896986
8,0.81,1.349332804354276,7,0,1,0,0,1,0,collision_without_merge,,11.382993070014724,9.174645499231547,0.11829864484497801,0.3747898886595349,1,0,0,1,1.0,7,0,0,8.283104720250837,5.773952910525708,9.67395291052568
9,0.7863,1.3137571858173542,7,0,1,0,0,1,0,collision_without_merge,,10.72076269358916,9.040233409398052,0.11134381506846888,0.3950223034975675,1,0,0,1,1.0,7,0,0,8.046485774248254,5.196585950404,9.196585950404
10,0.7625,14.448083101315298,12,1,0,1,0,0,0,safe_merge,12,9.282867776118538,8.448293120510494,0.9414777554712375,0.015071572250529908,0,1,0,0,1.0,12,0,0,7.4482931205104945,5.444613371380399,8.792665701234057
11,0.7388,13.412449317175621,11,1,0,1,0,0,0,safe_merge,11,9.085398771465869,7.9334359623188195,0.20753651865544054,0.32813230453143816,0,1,0,0,1.0,11,0,0,7.133612103164942,5.113628621257362,9.013628621257363
12,0.715,18.493199012225812,16,1,0,1,0,0,0,safe_merge,16,8.056366623182036,6.955141478723223,1.0,0.0,0,1,0,0,1.0,16,0,0,6.116609623540933,3.110761564092454,9.484132778049338
13,0.6913,17.812358321097534,15,1,0,1,0,0,0,safe_merge,15,11.099002475057175,9.378709798101601,0.2139925924693531,0.26928277407299084,0,1,0,0,1.0,15,0,0,8.454808081412125,5.558041438697032,9.558041438697046
14,0.6675,13.427811480494078,11,1,0,1,0,0,0,safe_merge,11,9.820919416244926,8.928180147595144,0.8504761058078589,0.022278160195619234,0,1,0,0,1.0,11,0,0,8.066604024286564,5.76575415853452,9.430513955373666
15,0.6438,13.914428301908277,17,1,1,0,1,0,0,unsafe_merge,17,10.622795636531755,9.01242117958739,0.22582733323293724,0.3157755769425117,0,1,0,1,1.0,17,0,0,8.142958574033047,5.907664456385987,9.80766445638599
16,0.62,16.470091353945094,14,1,0,1,0,0,0,safe_merge,14,8.22644765112299,7.272775287063981,0.535761637852077,0.1511427133956833,0,1,0,0,1.0,14,0,0,6.413218869460733,5.240623008210264,8.32154269301953
17,0.5962,17.502871649301795,15,1,0,1,0,0,0,safe_merge,15,8.4815641584237,7.4340501502546905,1.0,0.0,0,1,0,0,1.0,15,0,0,6.4340501502546905,5.405688800583334,8.090772849597414
18,0.5725,13.439593445763762,11,1,0,1,0,0,0,safe_merge,11,9.169546862750101,8.340880425143448,0.49345643228900304,0.16958766146750714,0,1,0,0,1.0,11,0,0,7.538711413021872,5.283469168204405,9.18346916820442
19,0.5488,15.454835912167985,13,1,0,1,0,0,0,safe_merge,13,9.104566800815109,7.4545468372581345,0.18559799592798198,0.343456216554489,1,1,0,0,1.0,13,0,0,6.504450823455223,3.7024764151702243,8.706611333160954
20,0.525,10.76677841126749,14,1,1,0,1,0,0,unsafe_merge,14,10.848133454723337,9.235911838310296,0.42062344256099726,0.2039163018436978,0,1,0,1,1.0,14,0,0,8.235911838310296,6.8726938904915755,8.87269389049159
21,0.5012,14.494297481838224,12,1,0,1,0,0,0,safe_merge,12,9.156042457851289,8.314238429552857,0.8526914365034634,0.03758532697413375,0,1,0,0,1.0,12,0,0,7.3909226655023295,4.995366578572529,8.948058015075992
22,0.4775,16.481300314439498,14,1,0,1,0,0,0,safe_merge,14,8.56563150695253,7.790604269640076,1.0,0.0,0,1,0,0,1.0,14,0,0,6.790604269640076,5.447147349135619,8.255544236198006
23,0.4538,16.72620795071549,14,1,0,1,0,0,0,safe_merge,14,10.459605346536888,8.80876943306628,0.5089695462352626,0.10293694078509152,0,1,0,0,1.0,14,0,0,7.865028328102281,4.94317230342142,8.94317230342142
24,0.43,14.583476551225491,22,1,0,1,0,0,0,safe_merge,22,7.302332065183441,3.740812962834579,1.0,0.0,0,1,0,0,0.5454545454545454,17,5,0,2.9219266860361386,-15.0,9.7532982500669
25,0.4062,7.3817230471146456,11,1,1,0,1,0,0,unsafe_merge,11,9.687621639795308,9.143806504119661,0.3409726605455007,0.24572735852288385,1,1,0,1,1.0,11,0,0,8.276301987765287,7.736620883239169,9.19798437496877
26,0.3825,10.517846336287496,26,1,0,1,0,0,0,safe_merge,26,5.514402737673267,2.474828837157645,0.8248234631609836,0.04799821472471999,0,1,0,0,0.3076923076923077,17,9,0,1.5196572048402872,-13.0,9.130667657264958
27,0.3588,5.354986503491203,9,1,1,0,1,0,0,unsafe_merge,9,9.89506781738966,8.495177420974624,0.09035871389180847,0.4171293696830358,1,1,0,1,1.0,9,0,0,7.634204641966114,5.907252489403646,9.30002027098253
28,0.335,13.426674894859577,11,1,0,1,0,0,0,safe_merge,11,9.383031086944115,8.6563653467772,0.42306479655681006,0.2027086907212936,0,1,0,0,1.0,11,0,0,7.910195251519258,5.663371155920913,9.597362461770999
29,0.3113,15.478480127437981,13,1,0,1,0,0,0,safe_merge,13,9.0820749263619,8.377971839102996,1.0,0.0,0,1,0,0,1.0,13,0,0,7.377971839102996,6.301048762179903,8.301048762179931
30,0.2875,10.550036216512673,14,1,1,0,1,0,0,unsafe_merge,14,10.336733176903966,9.552308620333807,0.06405505990964266,0.43980099120520877,1,1,0,1,1.0,14,0,0,8.574102164740108,5.391990718892686,9.391990718892686
31,0.2638,15.488799346730612,13,1,0,1,0,0,0,safe_merge,13,8.457033122228964,7.987130073348008,1.0,0.0,0,1,0,0,1.0,13,0,0,6.987130073348008,4.000039883337536,7.683257130351166
32,0.24,16.81076061524573,14,1,0,1,0,0,0,safe_merge,14,11.539810704947062,9.774987937658702,0.19724918896571414,0.31130023146024355,1,1,0,0,1.0,14,0,0,8.79397040748852,7.2622493517874265,9.146335958520098
33,0.2163,16.764779664855677,14,1,0,1,0,0,0,safe_merge,14,11.164463514066957,8.970337150702905,0.12703495779771345,0.3872839241420276,1,1,0,0,1.0,14,0,0,8.127506226332768,5.642218790254276,9.542218790254276
34,0.1925,10.607165580636007,14,1,1,0,1,0,0,unsafe_merge,14,11.478254124238848,9.302359335637123,0.03647894927221494,0.4613339074595557,1,1,0,1,1.0,14,0,0,8.335901496707551,7.301338896331174,9.301338896331174
35,0.1688,13.444954057052959,11,1,0,1,0,0,0,safe_merge,11,10.005402373013435,9.213565025016713,0.2209151731740508,0.31905772159442414,0,1,0,0,1.0,11,0,0,8.252249731008632,6.285542835339527,9.006629302073508
36,0.145,12.407078130916783,16,1,1,0,1,0,0,unsafe_merge,16,10.235097983360008,9.304257773619819,0.026527676580946968,0.4741578554712693,1,1,0,1,1.0,16,0,0,8.304257773619819,6.466103312188437,8.748197588768818
37,0.1212,14.725215567028572,12,1,0,1,0,0,0,safe_merge,12,11.448330591304575,9.367501521735528,0.37163782800164563,0.2290554252625936,0,1,0,0,1.0,12,0,0,8.367501521735528,7.0804205957141875,9.080420595714202
38,0.0975,15.913889689304877,13,1,0,1,0,0,0,safe_merge,13,12.222416787875376,9.322328942401132,1.0,0.0,0,1,0,0,1.0,13,0,0,8.51035222941416,5.957630873457916,9.857630873457959
39,0.0738,15.453147597097644,13,1,0,1,0,0,0,safe_merge,13,8.680561076031553,7.942579194030516,1.0,0.0,0,1,0,0,1.0,13,0,0,7.064960584120973,5.161752928565022,7.482641737043884
