formal_job_id,condition,master_seed,checkpoint,step,size_bytes,sha256,published,reason_not_published
baseline__61001,baseline,61001,ckpt_step_010000.pt,10000,20023568,39d2bac878d96c94ce5a5e4426d40761400707e7aa34eb3cd991d45b5964575a,False,local_only_intermediate_or_replay_checkpoint
baseline__61001,baseline,61001,ckpt_step_025000.pt,25000,45033680,ec4738d24445a4c8310f2c6da105687dcc270ee9c4734315572db39bf8bfbb2c,False,local_only_intermediate_or_replay_checkpoint
baseline__61001,baseline,61001,ckpt_step_050000.pt,50000,44005840,1c8368c1c7a5d8800895e78cdfeb6f6ce430b60cccf2b1b0b17248eec5d192b9,False,local_only_intermediate_or_replay_checkpoint
baseline__61001,baseline,61001,ckpt_step_075000.pt,75000,42510544,09a7c61cc0fd1ab305ec44bb05c774b8966cb821413daaed61ec9b935d2d5e4d,False,local_only_intermediate_or_replay_checkpoint
baseline__61001,baseline,61001,ckpt_step_100000.pt,100000,41906768,d6a7d22c8154f9b962eea832474b10cda19247a00af4a8f7299273710fad138e,False,local_only_intermediate_or_replay_checkpoint
baseline__61001,baseline,61001,final_online_target_weights.pt,100000,106765,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,True,
baseline__61002,baseline,61002,ckpt_step_010000.pt,10000,18837136,f85302f1cc4e430b91da52dbeb6e12f1b6adad0c922a7c2049e6e74206a3a0ba,False,local_only_intermediate_or_replay_checkpoint
baseline__61002,baseline,61002,ckpt_step_025000.pt,25000,42897488,25cb3b31f26f8af9794ddc6c1f2cd1576b4bbfe39c16dd41ab0bebfdb69cb047,False,local_only_intermediate_or_replay_checkpoint
baseline__61002,baseline,61002,ckpt_step_050000.pt,50000,43567824,7b8fc515900155ac44d32fa82be765f7f885f0db014ad91414aaff05f24558b6,False,local_only_intermediate_or_replay_checkpoint
baseline__61002,baseline,61002,ckpt_step_075000.pt,75000,42003728,e59435110b2ad488fe9d063944c8966275f047c0dda47bff9985ea6aee074b2d,False,local_only_intermediate_or_replay_checkpoint
baseline__61002,baseline,61002,ckpt_step_100000.pt,100000,42261712,febb96b0cc543dd1ed079ee051519840e8259abb983ac88303075da74adaa6a5,False,local_only_intermediate_or_replay_checkpoint
baseline__61002,baseline,61002,final_online_target_weights.pt,100000,106765,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,True,
baseline__61003,baseline,61003,ckpt_step_010000.pt,10000,19129040,44997de41469d8a872e82726c7259d34461591826d87123030c21f3a0fc67a6c,False,local_only_intermediate_or_replay_checkpoint
baseline__61003,baseline,61003,ckpt_step_025000.pt,25000,44453584,64a9b8cc2418e759a90d252598c3ba28b5fd78ff557e413d5afa64bde2d03da9,False,local_only_intermediate_or_replay_checkpoint
baseline__61003,baseline,61003,ckpt_step_050000.pt,50000,44198480,5f2dc5e526f7f6d607b73b58a6842700d2fc93038a1c4746b2473f8b870a7043,False,local_only_intermediate_or_replay_checkpoint
baseline__61003,baseline,61003,ckpt_step_075000.pt,75000,42360912,dbe037bb083dbcedc9a9bd6e5b9defd27822f4384da3b92929712c1159d2e42d,False,local_only_intermediate_or_replay_checkpoint
baseline__61003,baseline,61003,ckpt_step_100000.pt,100000,42117392,99a534c5dd0ecf99757923805abee4526e291ab2c3344100760cc8f76d210d2e,False,local_only_intermediate_or_replay_checkpoint
baseline__61003,baseline,61003,final_online_target_weights.pt,100000,106765,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,True,
baseline__61004,baseline,61004,ckpt_step_010000.pt,10000,19044880,1ccaef97cde49da30e1e3a44f4c53a814f71c13f84176379e0905f1037c65856,False,local_only_intermediate_or_replay_checkpoint
baseline__61004,baseline,61004,ckpt_step_025000.pt,25000,44165648,1d04bfb5fe4fe059d84dda032904fc3d299376fa1fc600808f73b80db75f2dbd,False,local_only_intermediate_or_replay_checkpoint
baseline__61004,baseline,61004,ckpt_step_050000.pt,50000,44035472,19733af3e489890fd992f462a0162d6fd59418b3b09ea7181f58edad966df512,False,local_only_intermediate_or_replay_checkpoint
baseline__61004,baseline,61004,ckpt_step_075000.pt,75000,44011408,acca4b93bb29c28ff919a5ae859d43ea760ba96da90a839c6950f333b81b993b,False,local_only_intermediate_or_replay_checkpoint
baseline__61004,baseline,61004,ckpt_step_100000.pt,100000,44333136,4340b14a0a843d15cefaa5e917b619196bb01c8bac282ca156c742be85fff816,False,local_only_intermediate_or_replay_checkpoint
baseline__61004,baseline,61004,final_online_target_weights.pt,100000,106765,a52ed6d4bd69dfffdc07d6236d70fedaff01f555cd6e54ad45acbffe30216f7a,True,
baseline__61005,baseline,61005,ckpt_step_010000.pt,10000,19555728,88e782208525a36f2930b63132961d7ef88cc47f211bd6ecec9a88a3cfa42d96,False,local_only_intermediate_or_replay_checkpoint
baseline__61005,baseline,61005,ckpt_step_025000.pt,25000,40811536,e14c0630d14b7ab8d0151639e8fe7319709d7b0cb5d3084ed2556f7f86990138,False,local_only_intermediate_or_replay_checkpoint
baseline__61005,baseline,61005,ckpt_step_050000.pt,50000,43875408,7c44ae199979f2327aa1a726b4e6163564bf5f30520336369dd1e3859fea85b7,False,local_only_intermediate_or_replay_checkpoint
baseline__61005,baseline,61005,ckpt_step_075000.pt,75000,43608592,cd4ea96587c4e6e47d156c03da5022568bb09f3cd26f7bc5a4de208ba292ea5c,False,local_only_intermediate_or_replay_checkpoint
baseline__61005,baseline,61005,ckpt_step_100000.pt,100000,43755856,8677aa97d1dcc19b3ee6d175d3573a8599db91c989ffe1ff9b83bc82f978a37d,False,local_only_intermediate_or_replay_checkpoint
baseline__61005,baseline,61005,final_online_target_weights.pt,100000,106765,37cca9b1c1253db4ca4befd9eb67e83d587383f2b369c05bf988af2d0bf7fd51,True,
baseline__61006,baseline,61006,ckpt_step_010000.pt,10000,19352400,3d60273f201ce7ce5993be23cbdccba8e69acf3d3755fa0d8728756beaf53625,False,local_only_intermediate_or_replay_checkpoint
baseline__61006,baseline,61006,ckpt_step_025000.pt,25000,44977488,b94c75618eb045067229a9ca08552c775d709c2098b1bab6594145d00fab285f,False,local_only_intermediate_or_replay_checkpoint
