episode,total_reward,mean_reward,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,mean_neighbourhood_min_experience,final_neighbourhood_min_experience,mean_neighbourhood_gini_experience,mean_neighbourhood_vehicle_count,neighbourhood_least_advantaged_ego_ratio,steps,terminated,truncated
0,13.187286439241094,0.8791524292827396,0.5776796292309576,0.5700811755879741,0.678982806416564,0.054714865005979205,0.03220099846968516,0,0,5.0,0,15,0.0,17.33038887692873,0,0.5915172768241285,0.5700811755879741,0.06000265004717846,3.4,0.0,15,True,False
1,7.067478690209629,0.8834348362762037,0.4723003120847846,-0.7261525071281055,0.6594835652895894,0.10236197100372948,0.3576529478271535,2,2,5.0,0,8,0.0,17.919009362543537,1,0.5043730110998033,-0.7261525071281055,0.1108822723232849,4.0,0.0,8,True,False
2,5.123591524893022,0.8539319208155036,0.4478724908574742,-0.6375975963992728,0.6654235627985444,0.1220205955537712,0.3675525842476568,2,2,5.0,0,6,0.0,18.43617472572422,1,0.48472836581543693,-0.6375975963992728,0.1353138193300932,3.8333333333333335,0.0,6,True,False
3,4.142316116560672,0.8284632233121345,0.30720120767712356,-0.7671063262933365,0.6228738220545494,0.1460873626072133,0.3714907746370566,2,2,5.0,0,5,0.0,15.216036230313708,1,0.3406709257464667,-0.7671063262933365,0.14628681164212015,4.0,0.0,5,True,False
4,6.252944792892337,0.8932778275560481,0.4899132850756588,-0.5120496469896818,0.6792625891481502,0.11031013450691869,0.35072314748985534,2,2,5.0,0,7,0.0,18.983112837984045,1,0.5306652167255858,-0.5120496469896818,0.11726548090516406,4.0,0.0,7,True,False
5,5.183831405306956,0.8639719008844926,0.43881794999708035,-0.6832863871505509,0.6599394314767272,0.11891086517612255,0.3741319825339888,2,2,5.0,0,6,0.0,18.16453849991241,1,0.4878942145570236,-0.6832863871505509,0.12739809542003944,3.8333333333333335,0.16666666666666666,6,True,False
6,3.8491023531129875,0.7698204706225975,0.3021677035776844,-0.8101929855332705,0.6240740388033574,0.15079210197363788,0.37105664849335995,2,2,5.0,0,5,0.0,15.065031107330531,1,0.3375343269077297,-0.8101929855332705,0.15023578195845158,4.0,0.0,5,True,False
7,12.342464898272151,0.8228309932181435,0.5155479148460603,-0.5226973031976863,0.6283191846787131,0.05877116899426095,0.38642307474815185,2,2,5.0,0,15,0.0,17.466437445381814,1,0.5273515356285364,-0.5226973031976863,0.06804594554885403,2.8,0.0,15,True,False
8,8.553594495834847,0.7775994996213498,0.39479128941160196,-0.7279649773841588,0.6239000148751368,0.13068678870007672,0.4213558675968647,2,2,5.0,0,11,0.0,14.571011409620786,1,0.4083478564292527,-0.7279649773841588,0.14926498651829642,3.5454545454545454,0.0,11,True,False
9,4.207037037037037,0.8414074074074074,0.4506595542892118,-0.40866264151851805,0.6773889971370588,0.12638500251935852,0.33799819023314304,2,2,5.0,0,5,0.0,19.51978662867635,1,0.49989205646474827,-0.40866264151851805,0.13492520545392153,4.0,0.0,5,True,False
10,11.69471008333858,0.7796473388892387,0.37649781991244013,-0.011006677368760607,0.6295137198729537,0.10781390526706877,0.20086633508351315,0,0,5.0,0,15,0.0,11.294934597373206,0,0.4770871366602289,0.6664860431826469,0.09229920275522364,3.6666666666666665,0.0,15,True,False
11,4.941794997049052,0.8236324995081753,0.44591766817761064,-0.6376448367810017,0.6631469215101452,0.12476174667818869,0.3771573011658862,2,2,5.0,0,6,0.0,18.377530045328317,1,0.4800112530904366,-0.6376448367810017,0.13857103962864584,3.8333333333333335,0.0,6,True,False
12,3.187679012345679,0.7969197530864197,0.30599776882933577,-0.5618279336102641,0.6286039460587535,0.1507487016386938,0.32914540170409334,2,2,5.0,0,4,0.0,16.679933064880075,1,0.3407664419656989,-0.5618279336102641,0.16988146093871537,3.75,0.0,4,True,False
13,6.637641219460281,0.8297051524325352,0.412013446590189,-0.7453853584699301,0.6509137389415777,0.1346428604027705,0.39372536331573427,2,2,5.0,0,8,0.0,16.110403397705667,1,0.43278630575056787,-0.7453853584699301,0.15098223467223504,3.875,0.0,8,True,False
14,9.984100479866873,0.8320083733222394,0.46789721417200614,-0.7286688795249839,0.6302506348492585,0.07617274068174534,0.3763447113649516,2,2,5.0,0,12,0.0,16.536916425160182,1,0.48771784882996655,-0.7286688795249839,0.0832887831902928,3.8333333333333335,0.0,12,True,False
15,6.868507336558231,0.8585634170697789,0.48076092726016273,-0.7208122019344472,0.6726174298921647,0.11576365963407845,0.38431518705886347,2,2,5.0,0,8,0.0,18.172827817804883,1,0.5094476731146228,-0.7208122019344472,0.12801255443107346,3.875,0.0,8,True,False
16,13.040224100442765,0.8150140062776728,0.434491491812289,0.3987771698624262,0.64491150051895,0.08544005095574236,0.10438244850325828,0,0,5.0,0,16,0.0,13.03474475436867,0,0.4887523702186942,0.6666761166713469,0.08381545397508491,3.8125,0.0625,16,True,False
