episode,total_reward,mean_reward,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,rawlsian_scope,ego_neighbourhood_radius,mean_scoped_vehicle_count,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,steps,terminated,truncated
0,10.39049466351242,0.6926996442341614,0.8126996442341614,-0.11999999999999998,-1.7999999999999998,ego_neighbourhood,50.0,3.1333333333333333,0.5139242281454259,-0.7127958150157515,0.6023997823021063,0.07999779623360648,0.6413292333019609,2,2,5.0,0,15,0.0,17.417726844362775,1,15,True,False
1,5.197054108494075,0.7424363012134393,0.8567220154991535,-0.1142857142857143,-0.8,ego_neighbourhood,50.0,3.857142857142857,0.4950892044263419,-0.7265514040488843,0.670057162701928,0.131252662061861,0.47186942280594546,2,2,5.0,0,7,0.0,19.138390418504542,1,7,True,False
2,5.479139752861556,0.6848924691076945,0.8598924691076945,-0.175,-1.4,ego_neighbourhood,50.0,3.875,0.5154774586513976,-0.6406847582694499,0.667625922123533,0.12388085691964865,0.5038464423347753,2,2,5.0,0,8,0.0,19.21432375954193,1,8,True,False
3,6.650511623275122,0.738945735919458,0.8056124025861249,-0.06666666666666668,-0.6000000000000001,ego_neighbourhood,50.0,3.7777777777777777,0.4326986950343895,-0.6411116727574713,0.6380476424899943,0.14679496574647216,0.4913917477881793,2,2,5.0,0,9,0.0,16.31429418436502,1,9,True,False
4,7.871486027043543,0.7155896388221403,0.8428623660948674,-0.12727272727272726,-1.4,ego_neighbourhood,50.0,4.090909090909091,0.5044422837616825,-0.45772683396557656,0.6476893165999937,0.09644019796565807,0.4413866791055856,2,2,5.0,0,11,0.0,17.860541240123204,1,11,True,False
5,5.991522674756426,0.6657247416396028,0.8212802971951585,-0.15555555555555556,-1.4,ego_neighbourhood,50.0,3.6666666666666665,0.5110758558539552,-0.7833465520566127,0.6495951629932196,0.09533040550597234,0.48777988701279607,2,2,5.0,0,9,0.0,18.665609008951986,1,9,True,False
6,13.900678889766523,0.9267119259844349,0.8867119259844348,0.04,0.6,ego_neighbourhood,50.0,3.8,0.5601262107427373,0.5979097716771733,0.6655695822848583,0.057172260497910174,0.019930934222357255,0,0,5.0,0,15,0.0,16.803786322282118,0,15,True,False
7,9.836300097955228,0.8942090998141116,0.8760272816322933,0.018181818181818177,0.19999999999999996,ego_neighbourhood,50.0,4.0,0.4809288657626711,-0.6227125524678259,0.6556696743567239,0.11147272188020335,0.4494972712739367,2,2,5.0,0,11,0.0,17.155138700152857,1,11,True,False
8,4.8851308364382104,0.6978758337768872,0.783590119491173,-0.08571428571428573,-0.6000000000000001,ego_neighbourhood,50.0,3.857142857142857,0.39613248689694114,-0.730584349662238,0.6257896072897643,0.12054448263160714,0.39637680080398474,2,2,5.0,0,7,0.0,16.16968889262252,1,7,True,False
9,5.971852824048847,0.7464816030061059,0.8464816030061061,-0.1,-0.8,ego_neighbourhood,50.0,4.0,0.498401147452327,-0.7074472375623513,0.6511193497711091,0.10853588046301088,0.4847154941887639,2,2,5.0,0,8,0.0,18.70203442356981,1,8,True,False
10,10.52448657549374,0.8770405479578116,0.9103738812911447,-0.03333333333333334,-0.4000000000000001,ego_neighbourhood,50.0,3.25,0.5570564519144695,0.6556574476320477,0.748137694117709,0.12952711630585745,0.10398967263562842,0,0,5.0,0,12,0.0,16.711693557434085,0,12,True,False
11,9.086656341960484,0.649046881568606,0.7919040244257489,-0.14285714285714285,-1.9999999999999998,ego_neighbourhood,50.0,3.7857142857142856,0.5379069840088855,0.6666708209100719,0.6840924464944178,0.08147842968496645,1.1395485751464207e-05,0,0,5.0,2,12,0.14285714285714285,16.137209520266566,0,14,True,False
12,3.024805192883982,0.6049610385767964,0.8049610385767962,-0.2,-1.0,ego_neighbourhood,50.0,4.0,0.32775900272489633,-0.7934103588550525,0.6218499447419803,0.14904879604207402,0.37155268677304787,2,2,5.0,0,5,0.0,15.832770081746892,1,5,True,False
13,7.505131056737768,0.6254275880614807,0.7254275880614807,-0.09999999999999999,-1.2,ego_neighbourhood,50.0,4.0,0.40830871001340824,-0.6667708777649266,0.5860845303298164,0.11161614927146667,0.5392584113080361,2,2,5.0,0,12,0.0,14.749261300402248,1,12,True,False
14,4.072723678968537,0.6787872798280895,0.8454539464947564,-0.16666666666666666,-1.0,ego_neighbourhood,50.0,3.8333333333333335,0.4776305395517657,-0.6836742674627404,0.6669541291664755,0.13619806848626329,0.46121124439635475,2,2,5.0,0,6,0.0,19.328916186552973,1,6,True,False
15,5.285848438588263,0.6607310548235329,0.8107310548235328,-0.15,-1.2,ego_neighbourhood,50.0,4.0,0.5058563690654163,-0.7269957765554143,0.6526548728706546,0.10610760167750993,0.48650275134567145,2,2,5.0,0,8,0.0,18.925691071962486,1,8,True,False
16,3.0681481481481483,0.6136296296296296,0.8136296296296296,-0.2,-1.0,ego_neighbourhood,50.0,3.6,0.49707150176187104,-0.40852628256459733,0.6898482376606193,0.1389844888538995,0.4148112915745612,2,2,5.0,0,5,0.0,20.91214505285613,1,5,True,False
17,2.5640559670781897,0.6410139917695474,0.8410139917695473,-0.2,-0.8,ego_neighbourhood,50.0,3.5,0.34478865614826804,-0.5951168816665835,0.6388776945613425,0.17012661231161197,0.40949706336111613,2,2,5.0,0,4,0.0,17.84365968444804,1,4,True,False
18,5.610367424635646,0.8014810606622351,0.8300524892336636,-0.02857142857142858,-0.20000000000000007,ego_neighbourhood,50.0,4.0,0.49310340931047997,-0.6427097554997329,0.6583085197091467,0.12458927380039762,0.47292856452355636,2,2,5.0,0,7,0.0,19.078816565028685,1,7,True,False
19,6.7498276220416455,0.8437284527552057,0.8937284527552055,-0.05000000000000001,-0.4000000000000001,ego_neighbourhood,50.0,3.875,0.4430707656751559,-0.5875525210944093,0.6586429777630823,0.14556560929305803,0.4437756406299953,2,2,5.0,0,8,0.0,17.042122970254674,1,8,True,False
20,3.29037037037037,0.658074074074074,0.858074074074074,-0.2,-1.0,ego_neighbourhood,50.0,3.6,0.5052589959697327,-0.4088651990242871,0.6936994717033065,0.13654631587573623,0.4148741747075251,2,2,5.0,0,5,0.0,21.15776987909198,1,5,True,False
21,3.144444444444445,0.6288888888888889,0.828888888888889,-0.2,-1.0,ego_neighbourhood,50.0,3.6,0.5016514433563695,-0.36814703946944605,0.6912402224008534,0.13823750335991153,0.40580475456408127,2,2,5.0,0,5,0.0,21.049543300691084,1,5,True,False
22,5.098194780920744,0.7283135401315349,0.871170682988678,-0.14285714285714285,-1.0,ego_neighbourhood,50.0,4.0,0.5225869153055154,-0.557396828723103,0.6850486282401063,0.12577150127000833,0.4467898382466775,2,2,5.0,0,7,0.0,19.963321744879746,1,7,True,False
23,2.8985668388420387,0.5797133677684078,0.7797133677684077,-0.2,-1.0,ego_neighbourhood,50.0,4.0,0.3445560435038181,-0.804930031194895,0.6367376614462723,0.14483848136222482,0.37640252157067744,2,2,5.0,0,5,0.0,16.336681305114542,1,5,True,False
24,9.454728319959333,0.7272867938430256,0.8042098707661025,-0.07692307692307693,-1.0,ego_neighbourhood,50.0,3.6153846153846154,0.47621105683755904,0.6667239718494149,0.6799034500505106,0.12548316912177826,0.09181339421223123,0,0,5.0,0,13,0.0,14.28633170512677,0,13,True,False
25,3.690370370370371,0.7380740740740742,0.858074074074074,-0.12000000000000002,-0.6000000000000001,ego_neighbourhood,50.0,3.8,0.4950940013090895,-0.4090721615270225,0.6835422007726638,0.13775566979605958,0.414765124853403,2,2,5.0,0,5,0.0,20.852820039272682,1,5,True,False
26,8.385756526099975,0.762341502372725,0.8168869569181795,-0.05454545454545456,-0.6000000000000001,ego_neighbourhood,50.0,3.272727272727273,0.4895648088111265,-0.7548296872314613,0.5968352199536692,0.09764733000536933,0.6273585751137751,2,2,5.0,0,11,0.0,17.414216991606523,1,11,True,False
27,6.418176733642235,0.7131307481824706,0.8686863037380259,-0.15555555555555556,-1.4,ego_neighbourhood,50.0,4.0,0.5410546220433387,-0.4185205613929962,0.6792253864046293,0.10582315645052437,0.42237283425657934,2,2,5.0,0,9,0.0,19.564971994633495,1,9,True,False
28,6.8223909566382375,0.6822390956638238,0.8422390956638239,-0.15999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,3.8,0.49838361890372307,-0.6028580834310129,0.6585111058615313,0.1113599088382358,0.45835528961908656,2,2,5.0,0,10,0.0,17.951508567111695,1,10,True,False
29,9.205816374030668,0.6137210916020446,0.7603877582687111,-0.14666666666666664,-2.1999999999999997,ego_neighbourhood,50.0,3.8,0.5018603003660467,0.6666860343114459,0.6701240877673222,0.09069478292014344,0.04988968383985015,0,0,5.0,0,15,0.0,15.055809010981402,0,15,True,False
30,12.252013631487179,0.8168009087658119,0.8834675754324786,-0.06666666666666667,-1.0,ego_neighbourhood,50.0,4.066666666666666,0.5991594557767085,0.5893861399623472,0.6775682585736614,0.04545203328590809,0.09895891899084108,0,0,5.0,0,15,0.0,17.974783673301253,0,15,True,False
31,9.937413537332729,0.6624942358221819,0.7824942358221821,-0.11999999999999998,-1.7999999999999998,ego_neighbourhood,50.0,3.8666666666666667,0.425472913722201,-0.5886754572189384,0.6130922255792146,0.1241512763193295,0.6162927583858835,2,2,5.0,0,15,0.0,14.764187411666029,1,15,True,False
32,4.929144367069185,0.7041634810098836,0.8470206238670265,-0.14285714285714285,-1.0,ego_neighbourhood,50.0,3.5714285714285716,0.5156563166110902,-0.639305874825502,0.6738698671332874,0.11814186270276537,0.45877967039047207,2,2,5.0,0,7,0.0,19.755403784046994,1,7,True,False
33,4.096201625540953,0.6827002709234922,0.8160336042568255,-0.13333333333333333,-0.8,ego_neighbourhood,50.0,4.0,0.49403780206118464,-0.6111556231797184,0.6729391513514713,0.1343255922420936,0.4640484638479443,2,2,5.0,0,6,0.0,19.82113406183554,1,6,True,False
