episode,total_reward,mean_reward,experience_mode,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,mean_mobility_score,mean_risk_penalty,mean_low_speed_penalty,mean_collision_penalty,reason_collision_steps,reason_low_mobility_steps,reason_low_speed_steps,reason_risk_steps,reason_none_steps,reason_combined_steps,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,mean_neighbourhood_min_experience,final_neighbourhood_min_experience,mean_neighbourhood_gini_experience,mean_neighbourhood_vehicle_count,neighbourhood_least_advantaged_ego_ratio,steps,terminated,truncated
0,5.965456790123457,0.8522081128747796,safety_mobility,-0.01211607122678696,-1.9055186430756554,0.32474586745088246,0.21179666563926206,0.3978725226048627,2,2,5.0,0.7652971231748241,0.6490327043401638,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,19.540077150432335,1,0.03569614977416667,-1.9055186430756554,0.19387343006340477,4.0,0.0,7,True,False
1,3.222222222222222,0.8055555555555555,safety_mobility,-0.329169363367438,-2.0137347280348794,0.23448654688549134,0.25994692044672,0.3602365287066409,2,2,5.0,0.764544282264422,0.5817547664054756,0.0,0.125,1,1,0,2,0,0,0,4,0.0,17.310676493123324,1,-0.27773324807532174,-2.0137347280348794,0.26082407929054274,3.75,0.0,4,True,False
2,5.207037732546602,0.8678396220911003,safety_mobility,-0.0453763452873713,-1.863549299877846,0.31348968040943226,0.22294904815665595,0.3892345476941501,2,2,5.0,0.7712881680074245,0.5737112190167656,0.0,0.08333333333333333,1,1,0,4,0,0,0,6,0.0,19.823855159717848,1,0.03210939161325325,-1.863549299877846,0.1980375635774911,3.6666666666666665,0.0,6,True,False
3,6.029333187870905,0.8613333125529864,safety_mobility,-0.08688701492613944,-1.8667287085254043,0.29848608418745176,0.2612000336057165,0.39298406109416106,2,2,5.0,0.7431932158274249,0.6078367126334827,0.0,0.07142857142857142,1,4,0,2,0,0,0,7,0.0,17.365598979266842,1,-0.02549005454085559,-1.8667287085254043,0.24144122376387228,3.857142857142857,0.0,7,True,False
4,8.606596622788677,0.8606596622788677,safety_mobility,-0.02849657159122343,-2.2461957278912603,0.28735626112648927,0.24384234038548486,0.4049905209838398,2,2,5.0,0.6843998478273058,0.6882452849835524,0.0,0.05,1,3,0,6,0,0,0,10,0.0,17.12746212741832,1,-0.004801953426848238,-2.2461957278912603,0.19545272613398343,4.0,0.0,10,True,False
5,6.194444444444445,0.884920634920635,safety_mobility,-0.0007852677516330596,-1.7808707233036358,0.34260123957092137,0.21820707749287763,0.39094883887589105,2,2,5.0,0.7873592951823599,0.6391999469652022,0.0,0.07142857142857142,1,2,0,4,0,0,0,7,0.0,20.086973339865608,1,0.0879673286090751,-1.7808707233036358,0.17562469265995873,3.7142857142857144,0.0,7,True,False
6,8.302642129594172,0.8302642129594172,safety_mobility,0.0037058082220454034,-1.997919153293013,0.2521789699572644,0.1963689242041514,0.41694123294700924,2,2,5.0,0.6373556891773575,0.49874740582205107,0.0,0.06666666666666667,1,6,0,3,0,0,0,10,0.0,16.847037466347746,1,0.0544247078798072,-1.997919153293013,0.21154727448747246,3.0,0.0,10,True,False
7,4.043546797557432,0.8087093595114864,safety_mobility,-0.2384745206516615,-2.2264903208049143,0.23935839356430288,0.2376268895886024,0.3984276901711843,2,2,5.0,0.7243982947033081,0.5582097841894926,0.0,0.08,1,2,0,2,0,0,0,5,0.0,15.811054441765233,1,-0.18807757297287298,-2.2264903208049143,0.21774413637115914,4.2,0.0,5,True,False
8,6.842215120512689,0.8552768900640861,safety_mobility,-0.07938107471852518,-2.0121246935510246,0.3046805051550927,0.2787655547451698,0.40870795205244725,2,2,5.0,0.7188157248439697,0.6010575189851853,0.0,0.0625,1,4,0,3,0,0,0,8,0.0,17.001047907957883,1,-0.012451114642565597,-2.0121246935510246,0.25248574847589494,3.875,0.0,8,True,False
9,10.326150247883227,0.8605125206569356,safety_mobility,0.04446120215175253,-2.1496587485225636,0.3114313778723709,0.23403095767828422,0.41554775471214045,2,2,5.0,0.6991309045716405,0.7164309469896325,0.0,0.041666666666666664,1,4,0,7,0,0,0,12,0.0,17.821938235693583,1,0.06606474596668255,-2.1496587485225636,0.16872784241066405,4.0,0.0,12,True,False
10,3.208304087791495,0.8020760219478738,safety_mobility,-0.30742339088268067,-2.0671309674664484,0.2329483988476257,0.23870129260444484,0.38727504524778,2,2,5.0,0.7529868313628283,0.5396713440284509,0.0,0.125,1,2,0,1,0,0,0,4,0.0,17.032925264262325,1,-0.21959532024670392,-2.0671309674664484,0.2110174431726043,3.5,0.0,4,True,False
11,5.520678388954761,0.7886683412792516,safety_mobility,-0.07609650508579155,-2.194338917275731,0.2779828347428365,0.2310475696254803,0.4198594783550389,2,2,5.0,0.7275541277733842,0.6377972078384061,0.0,0.07142857142857142,1,1,0,5,0,0,0,7,0.0,18.260851939557618,1,-0.00033738139142932714,-2.194338917275731,0.18380919515127547,3.857142857142857,0.0,7,True,False
12,13.261449180895701,0.8840966120597133,safety_mobility,0.22990649507114708,0.21258604488213323,0.3640312450818036,0.17790723132007588,0.2268149118163414,0,0,5.0,0.666988036926211,0.595539471720994,0.0,0.0,0,9,0,6,0,0,0,15,0.0,18.323923867855747,0,0.2871580287829188,0.21258604488213323,0.13172449819765694,3.3333333333333335,0.0,15,True,False
13,3.326567901234568,0.831641975308642,safety_mobility,-0.2979447284878724,-2.011570849658703,0.22954417566163945,0.2408542767955531,0.3800828861344554,2,2,5.0,0.7749639885475483,0.5280608701025111,0.0,0.1,1,2,0,1,0,0,0,4,0.0,17.444760410524097,1,-0.19407126869086788,-2.011570849658703,0.1868876919952131,3.75,0.0,4,True,False
14,5.201840669891565,0.8669734449819275,safety_mobility,-0.08580918863837628,-2.1336742674627405,0.2969436048157376,0.2198568294781179,0.40492752420125555,2,2,5.0,0.7499711187730563,0.6352795779416157,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,18.898256718631817,1,-0.051815120246203016,-2.1336742674627405,0.21182214611102157,3.8333333333333335,0.0,6,True,False
15,6.006109549504675,0.8580156499292393,safety_mobility,-0.05043662999124484,-2.1942222127010553,0.29577552250708183,0.2071461100632833,0.4187594704666373,2,2,5.0,0.7230469859242356,0.6340994826569644,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,18.306882577509807,1,0.010396504614951165,-2.1942222127010553,0.1685198842088491,4.0,0.0,7,True,False
16,7.011085711674109,0.8763857139592637,safety_mobility,-0.00941771763112953,-1.7898434032030854,0.32149617458094043,0.24540274920633376,0.39806820792625897,2,2,5.0,0.761565790709591,0.6761979381440201,0.0,0.0625,1,2,0,5,0,0,0,8,0.0,19.628515195868303,1,0.07709807206922747,-1.7898434032030854,0.18355390401707838,3.75,0.0,8,True,False
17,3.2710123456790123,0.8177530864197531,safety_mobility,-0.29869106167945714,-2.0164028199317476,0.24159318997040244,0.24995450288458476,0.3818964105574363,2,2,5.0,0.7651013327753039,0.5165640523125337,0.0,0.125,1,3,0,0,0,0,0,4,0.0,17.33970166724221,1,-0.18498679700174314,-2.0164028199317476,0.2055770028553573,3.5,0.0,4,True,False
