episode,total_reward,mean_reward,metric_scope,experience_mode,ego_neighbourhood_radius,mean_scoped_vehicle_count,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,mean_mobility_score,mean_risk_penalty,mean_low_speed_penalty,mean_collision_penalty,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,reason_collision_steps,reason_low_mobility_steps,reason_low_speed_steps,reason_risk_steps,reason_none_steps,reason_combined_steps,steps,terminated,truncated,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,seed,model_type
0,3.305660475374762,0.8264151188436905,ego_neighbourhood,safety_mobility,50.0,4.0,-0.2347142855199632,-2.064337872006491,0.28720890773901614,0.20535883685016987,0.38729109707305254,2,2,5.0,0.7596047783564999,0.5447917412349677,0.0,0.1,0,4,0.0,18.22483351781062,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
1,13.717345556668104,0.9144897037778735,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.2296071708599912,0.21109312574832856,0.31700899381510605,0.12803736169168792,0.0800316436302253,0,0,5.0,0.6817654857613186,0.7295129838924251,0.0,0.0,0,15,0.0,18.400891591461185,0,0,7,0,8,0,0,15,True,False,0.0,0.0,0.0,0,baseline
2,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.14246443800295358,0.2798225848369354,0.30939755716488576,0.16302666480192246,0.06052760099117327,0,0,5.0,0.6517204960823562,0.6846458778349407,0.0,0.0,1,14,0.06666666666666667,14.465570735207253,0,0,9,0,6,0,0,15,True,False,0.0,0.0,0.0,0,baseline
3,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.1382154377418684,0.30892063911910134,0.3133737728965465,0.16454568269203956,0.012994351163418738,0,0,5.0,0.6511667501290651,0.6755859544650374,0.0,0.0,1,14,0.06666666666666667,14.478915743357922,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
4,3.33577554634616,0.83394388658654,ego_neighbourhood,safety_mobility,50.0,3.75,-0.19946119278095858,-1.980699415280062,0.3056183289855104,0.19311978617744108,0.38853153985260147,2,2,5.0,0.769664296463483,0.5280919349559452,0.0,0.1,0,4,0.0,18.747923963198527,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
5,3.320167204321904,0.830041801080476,ego_neighbourhood,safety_mobility,50.0,3.75,-0.2037437865880083,-2.0068853001635807,0.3115382074428884,0.19581057212702319,0.3935475219461173,2,2,5.0,0.7600388443355084,0.49700127378523995,0.0,0.1,0,4,0.0,18.345663113522704,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
6,8.623085974395467,0.8623085974395467,ego_neighbourhood,safety_mobility,50.0,4.0,0.04388776828937124,-2.173084518811528,0.25206159840607356,0.15379249652088253,0.48437185170301245,2,2,5.0,0.6904488138069238,0.6767744308017003,0.0,0.05,0,10,0.0,18.331236770347648,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
7,3.352561072945784,0.838140268236446,ego_neighbourhood,safety_mobility,50.0,3.5,-0.16236127253867755,-1.9354781096459772,0.2642042367757943,0.20381245570590023,0.45392846300023293,2,2,5.0,0.7762878661099617,0.5241672586683346,0.0,0.125,0,4,0.0,19.005173898014036,1,1,3,0,0,0,0,4,True,False,0.0,0.0,0.0,0,baseline
8,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8,0.14359785056939975,0.3375761945854389,0.3341321772230937,0.18405349538767124,0.012510209634088998,0,0,5.0,0.6544517139381838,0.6406390734301806,0.0,0.0,0,15,0.0,14.47734782695561,0,0,9,0,6,0,0,15,True,False,0.0,0.0,0.0,0,baseline
9,8.652511358552207,0.8652511358552207,ego_neighbourhood,safety_mobility,50.0,4.2,0.040183954628910265,-2.1195968800772746,0.2620427956253381,0.19012812650793803,0.47870885743984726,2,2,5.0,0.6924345722690314,0.6607835532873865,0.0,0.05,0,10,0.0,18.553266759805673,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
10,3.320167204321904,0.830041801080476,ego_neighbourhood,safety_mobility,50.0,4.0,-0.22718937801082117,-2.0289881021960245,0.28826356948151993,0.20220583409615656,0.38635648011843937,2,2,5.0,0.7630601954097971,0.5495932518565547,0.0,0.1,0,4,0.0,18.445429127808318,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
11,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.21921786706794308,0.20729104282107003,0.3311286721233229,0.14363747785470485,0.1671020026800829,0,0,5.0,0.6787324194856763,0.6952074947247068,0.0,0.0,0,15,0.0,18.870468748139054,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
12,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8,0.138500517957497,0.27927811474813224,0.3112364761882185,0.17705357821604104,0.08943429715243312,0,0,5.0,0.6526171153501248,0.6827612783238127,0.0,0.0,1,14,0.06666666666666667,14.499565867720253,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
13,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8,0.13716626662709558,0.27576571366016417,0.3113510554166768,0.17944788555440463,0.10049627496447222,0,0,5.0,0.6520116947418994,0.6813212786504451,0.0,0.0,1,14,0.06666666666666667,14.470927469219342,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
