episode,total_reward,mean_reward,mean_original_reward,mean_rawlsian_reward,mean_min_experience,final_min_experience,steps,terminated,truncated
0,7.790241849781433,0.8655824277534925,0.8655824277534925,-6.1679056923619804e-18,0.4125548017289485,-0.6411797519676543,9,True,False
1,9.241212052469631,0.7701010043724693,0.8201010043724691,-0.05000000000000001,0.46415769735717705,-0.33318419265278565,12,True,False
2,6.621440628110588,0.6621440628110589,0.8021440628110588,-0.13999999999999999,0.46003172609257204,-0.7278071018286867,10,True,False
3,7.382227327386635,0.8202474808207372,0.8202474808207375,-6.1679056923619804e-18,0.4274863284009789,-0.6583751978131294,9,True,False
4,5.366666666666667,0.7666666666666667,0.880952380952381,-0.1142857142857143,0.5180118547116075,-0.33104078303986817,7,True,False
5,5.676949546808169,0.810992792401167,0.8681356495440243,-0.057142857142857155,0.4261415323135069,-0.45583510999981713,7,True,False
6,5.075972558698522,0.7251389369569318,0.8394246512426461,-0.1142857142857143,0.489559147950184,-0.557252409663082,7,True,False
7,4.535942997382963,0.7559904995638272,0.8559904995638273,-0.10000000000000002,0.4333215775427373,-0.7238444767353218,6,True,False
8,6.249060679519379,0.7811325849399223,0.8561325849399221,-0.07500000000000001,0.470283527585445,-0.7451682479392148,8,True,False
9,6.63893213272492,0.7376591258583245,0.8709924591916579,-0.13333333333333333,0.5239349432717044,-0.37711787265068863,9,True,False
