master_seed,final_step,success,n_checkpoints,checkpoints_ok,complete
64001,400000,True,17,True,True
64002,400000,True,17,True,True
64003,400000,True,17,True,True
64004,400000,True,17,True,True
64005,400000,True,17,True,True
64006,400000,True,17,True,True
64007,400000,True,17,True,True
64008,400000,True,17,True,True
64009,400000,True,17,True,True
64010,400000,True,17,True,True
64011,400000,True,17,True,True
64012,400000,True,17,True,True
64013,400000,True,17,True,True
64014,400000,True,17,True,True
64015,400000,True,17,True,True
64016,400000,True,17,True,True
64017,400000,True,17,True,True
64018,400000,True,17,True,True
64019,400000,True,17,True,True
64020,400000,True,17,True,True
