success,collision,truncation,terminated,truncated,termination_reason,episode_length,exit_step_agent_0,exit_step_agent_1,passing_order,controller_role_mapping,failure_category,primary_failure_label,reward_progress_A,reward_exit_A,reward_collision_A,reward_hard_braking_A,reward_active_time_A,reward_total_A,reward_progress_B,reward_exit_B,reward_collision_B,reward_hard_braking_B,reward_active_time_B,reward_total_B,stage,protocol_tag,code_commit,master_seed,checkpoint,checkpoint_step,scenario_block,assignment,eval_seed,episode_index,swap_pair_id,validation_block_id,template_validation_index
True,False,False,True,False,success,56,56,46,ramp_first,"{'A': 'mainline', 'B': 'ramp'}",success,,0.35692307692307673,0.6,0.0,-0.05906249999999776,-0.02800000000000002,0.8698605769230793,0.36925322989290876,0.6,0.0,0.0,-0.023000000000000017,0.9462532298929089,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,0,0,1906318821,0,stage7c-q1-protocol-v1:ms64001:ckpt125000:b0,validation_001,0
True,False,False,True,False,success,82,82,58,mainline_first,"{'A': 'ramp', 'B': 'mainline'}",success,,0.36925322989290876,0.6,0.0,-0.20249999999999946,-0.04100000000000003,0.7257532298929095,0.3569230769230767,0.6,0.0,0.0,-0.029000000000000022,0.9279230769230767,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,0,1,1906318821,1,stage7c-q1-protocol-v1:ms64001:ckpt125000:b0,validation_001,0
True,False,False,True,False,success,64,64,55,ramp_first,"{'A': 'mainline', 'B': 'ramp'}",success,,0.34892307692307706,0.6,0.0,-0.08437499999999881,-0.03200000000000002,0.8325480769230782,0.33112723496011615,0.6,0.0,0.0,-0.02750000000000002,0.9036272349601162,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,1,0,742547506,2,stage7c-q1-protocol-v1:ms64001:ckpt125000:b1,validation_002,1
True,False,False,True,False,success,66,45,66,ramp_first,"{'A': 'ramp', 'B': 'mainline'}",success,,0.3311272349601161,0.6,0.0,0.0,-0.022500000000000017,0.9086272349601161,0.3489230769230768,0.6,0.0,-0.033749999999999114,-0.03300000000000002,0.8821730769230778,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,1,1,742547506,3,stage7c-q1-protocol-v1:ms64001:ckpt125000:b1,validation_002,1
True,False,False,True,False,success,58,58,50,ramp_first,"{'A': 'mainline', 'B': 'ramp'}",success,,0.3569230769230767,0.6,0.0,-0.07593749999999712,-0.029000000000000022,0.8519855769230797,0.34096620139438527,0.6,0.0,0.0,-0.02500000000000002,0.9159662013943852,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,2,0,1725324999,4,stage7c-q1-protocol-v1:ms64001:ckpt125000:b2,validation_003,2
True,False,False,True,False,success,58,58,53,mainline_first,"{'A': 'ramp', 'B': 'mainline'}",success,,0.3409662013943851,0.6,0.0,-0.05062499999999888,-0.029000000000000022,0.8613412013943863,0.3569230769230766,0.6,0.0,0.0,-0.02650000000000002,0.9304230769230767,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,2,1,1725324999,5,stage7c-q1-protocol-v1:ms64001:ckpt125000:b2,validation_003,2
True,False,False,True,False,success,56,56,46,ramp_first,"{'A': 'mainline', 'B': 'ramp'}",success,,0.3489230769230768,0.6,0.0,-0.033749999999999114,-0.02800000000000002,0.8871730769230777,0.3631038758714907,0.6,0.0,0.0,-0.023000000000000017,0.9401038758714907,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,3,0,496266531,6,stage7c-q1-protocol-v1:ms64001:ckpt125000:b3,validation_004,3
True,False,False,True,False,success,88,88,63,mainline_first,"{'A': 'ramp', 'B': 'mainline'}",success,,0.3631038758714907,0.6,0.0,-0.2446874999999994,-0.04400000000000003,0.6744163758714913,0.34892307692307717,0.6,0.0,0.0,-0.03150000000000002,0.9174230769230771,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,3,1,496266531,7,stage7c-q1-protocol-v1:ms64001:ckpt125000:b3,validation_004,3
True,False,False,True,False,success,55,55,48,ramp_first,"{'A': 'mainline', 'B': 'ramp'}",success,,0.340923076923077,0.6,0.0,-0.03374999999999872,-0.02750000000000002,0.8796730769230782,0.35080516782865434,0.6,0.0,0.0,-0.024000000000000018,0.9268051678286543,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,4,0,826270285,8,stage7c-q1-protocol-v1:ms64001:ckpt125000:b4,validation_005,4
True,False,False,True,False,success,66,43,66,ramp_first,"{'A': 'ramp', 'B': 'mainline'}",success,,0.3508051678286544,0.6,0.0,0.0,-0.021500000000000016,0.9293051678286544,0.3409230769230772,0.6,0.0,-0.00843750000000008,-0.03300000000000002,0.8994855769230772,stage7c_q1,stage7c-q1-protocol-v1,c8c75207c06c6a0511cac5fb24b644a61def8d14,64001,125000,125000,4,1,826270285,9,stage7c-q1-protocol-v1:ms64001:ckpt125000:b4,validation_005,4
