master_seed,checkpoint_step,termination_reason,n
64001,0,truncation,16
64001,25000,collision,2
64001,25000,success,12
64001,25000,truncation,2
64001,50000,truncation,16
64001,75000,success,1
64001,75000,truncation,15
64001,100000,collision,1
64001,100000,success,15
64001,125000,success,16
64001,150000,collision,1
64001,150000,success,10
64001,150000,truncation,5
64001,175000,success,14
64001,175000,truncation,2
64001,200000,success,64
64001,225000,success,64
64001,250000,success,40
64001,250000,truncation,24
64001,275000,collision,4
64001,275000,success,60
64001,300000,collision,4
64001,300000,success,56
64001,300000,truncation,4
64001,325000,collision,24
64001,325000,success,28
64001,325000,truncation,12
64001,350000,collision,8
64001,350000,success,44
64001,350000,truncation,12
64001,375000,collision,4
64001,375000,success,60
64001,400000,collision,8
64001,400000,success,40
64001,400000,truncation,16
64002,0,truncation,16
64002,25000,success,15
64002,25000,truncation,1
64002,50000,success,16
64002,75000,collision,3
64002,75000,success,13
64002,100000,success,15
64002,100000,truncation,1
64002,125000,success,16
64002,150000,collision,1
64002,150000,success,14
64002,150000,truncation,1
64002,175000,success,16
64002,200000,collision,8
64002,200000,success,52
64002,200000,truncation,4
64002,225000,success,64
64002,250000,collision,4
64002,250000,success,28
64002,250000,truncation,32
64002,275000,collision,4
64002,275000,success,52
64002,275000,truncation,8
64002,300000,success,24
64002,300000,truncation,40
64002,325000,success,64
64002,350000,success,64
64002,375000,success,64
64002,400000,success,64
64003,0,truncation,16
64003,25000,collision,1
64003,25000,success,8
64003,25000,truncation,7
64003,50000,success,12
64003,50000,truncation,4
64003,75000,success,9
64003,75000,truncation,7
64003,100000,collision,3
64003,100000,success,13
64003,125000,collision,2
64003,125000,success,14
64003,150000,success,16
64003,175000,success,16
64003,200000,collision,4
64003,200000,success,60
64003,225000,success,20
64003,225000,truncation,44
64003,250000,collision,4
64003,250000,success,28
64003,250000,truncation,32
64003,275000,collision,8
64003,275000,success,56
64003,300000,success,36
64003,300000,truncation,28
64003,325000,success,64
64003,350000,collision,4
64003,350000,success,60
64003,375000,success,4
64003,375000,truncation,60
64003,400000,collision,4
64003,400000,truncation,60
64004,0,collision,3
64004,0,truncation,13
64004,25000,success,15
64004,25000,truncation,1
64004,50000,collision,1
64004,50000,success,14
64004,50000,truncation,1
64004,75000,success,13
64004,75000,truncation,3
64004,100000,success,16
64004,125000,collision,4
64004,125000,success,12
64004,150000,success,15
64004,150000,truncation,1
64004,175000,success,16
64004,200000,success,64
64004,225000,success,60
64004,225000,truncation,4
64004,250000,collision,4
64004,250000,success,60
64004,275000,collision,12
64004,275000,success,44
64004,275000,truncation,8
64004,300000,collision,8
64004,300000,success,56
64004,325000,success,64
64004,350000,collision,8
64004,350000,success,56
64004,375000,collision,8
64004,375000,success,56
64004,400000,collision,12
64004,400000,success,36
64004,400000,truncation,16
64005,0,truncation,16
64005,25000,collision,2
64005,25000,success,7
64005,25000,truncation,7
64005,50000,collision,3
64005,50000,success,7
64005,50000,truncation,6
64005,75000,collision,1
64005,75000,success,5
64005,75000,truncation,10
64005,100000,success,1
64005,100000,truncation,15
64005,125000,truncation,16
64005,150000,collision,7
64005,150000,success,9
64005,175000,success,10
64005,175000,truncation,6
64005,200000,success,36
64005,200000,truncation,28
64005,225000,success,60
64005,225000,truncation,4
64005,250000,success,64
64005,275000,success,60
64005,275000,truncation,4
64005,300000,success,64
64005,325000,success,64
64005,350000,collision,4
64005,350000,success,60
64005,375000,collision,4
64005,375000,success,48
64005,375000,truncation,12
64005,400000,collision,8
64005,400000,success,56
64006,0,truncation,16
64006,25000,success,11
64006,25000,truncation,5
64006,50000,success,11
64006,50000,truncation,5
64006,75000,collision,2
64006,75000,success,14
64006,100000,success,16
64006,125000,success,16
64006,150000,collision,1
64006,150000,success,15
64006,175000,success,16
64006,200000,success,64
64006,225000,success,32
64006,225000,truncation,32
64006,250000,collision,4
64006,250000,success,60
64006,275000,success,64
64006,300000,success,48
64006,300000,truncation,16
64006,325000,success,64
64006,350000,success,24
64006,350000,truncation,40
64006,375000,collision,4
64006,375000,success,28
64006,375000,truncation,32
64006,400000,success,32
64006,400000,truncation,32
64007,0,collision,3
64007,0,success,5
64007,0,truncation,8
64007,25000,collision,2
64007,25000,success,9
64007,25000,truncation,5
64007,50000,success,15
64007,50000,truncation,1
64007,75000,success,15
64007,75000,truncation,1
64007,100000,collision,4
64007,100000,success,12
64007,125000,collision,1
64007,125000,success,15
64007,150000,collision,1
64007,150000,success,15
64007,175000,collision,1
64007,175000,success,7
64007,175000,truncation,8
64007,200000,collision,4
64007,200000,success,32
64007,200000,truncation,28
64007,225000,collision,4
64007,225000,success,60
64007,250000,success,64
64007,275000,success,64
64007,300000,truncation,64
64007,325000,collision,4
64007,325000,success,60
64007,350000,collision,4
64007,350000,success,52
64007,350000,truncation,8
64007,375000,collision,4
64007,375000,success,60
64007,400000,success,64
64008,0,truncation,16
64008,25000,collision,4
64008,25000,success,5
64008,25000,truncation,7
64008,50000,collision,3
64008,50000,success,11
64008,50000,truncation,2
64008,75000,success,16
64008,100000,success,16
64008,125000,collision,1
64008,125000,success,15
64008,150000,collision,2
64008,150000,success,9
64008,150000,truncation,5
64008,175000,success,16
64008,200000,success,64
64008,225000,success,64
64008,250000,collision,12
64008,250000,success,48
64008,250000,truncation,4
64008,275000,success,64
64008,300000,success,64
64008,325000,success,48
64008,325000,truncation,16
64008,350000,success,64
64008,375000,success,64
64008,400000,collision,16
64008,400000,success,48
64009,0,truncation,16
64009,25000,collision,1
64009,25000,success,1
64009,25000,truncation,14
64009,50000,success,11
64009,50000,truncation,5
64009,75000,collision,4
64009,75000,success,10
64009,75000,truncation,2
64009,100000,collision,2
64009,100000,success,13
64009,100000,truncation,1
64009,125000,success,15
64009,125000,truncation,1
64009,150000,success,14
64009,150000,truncation,2
64009,175000,collision,1
64009,175000,success,15
64009,200000,collision,8
64009,200000,success,56
64009,225000,success,64
64009,250000,collision,4
64009,250000,success,60
64009,275000,success,64
64009,300000,collision,4
64009,300000,success,60
64009,325000,success,64
64009,350000,success,64
64009,375000,success,64
64009,400000,collision,24
64009,400000,success,12
64009,400000,truncation,28
64010,0,truncation,16
64010,25000,success,9
64010,25000,truncation,7
64010,50000,collision,1
64010,50000,success,4
64010,50000,truncation,11
64010,75000,success,15
64010,75000,truncation,1
64010,100000,collision,2
64010,100000,success,8
64010,100000,truncation,6
64010,125000,success,2
64010,125000,truncation,14
64010,150000,success,5
64010,150000,truncation,11
64010,175000,collision,5
64010,175000,success,11
64010,200000,success,60
64010,200000,truncation,4
64010,225000,collision,12
64010,225000,success,20
64010,225000,truncation,32
64010,250000,collision,16
64010,250000,success,32
64010,250000,truncation,16
64010,275000,success,64
64010,300000,success,64
64010,325000,success,64
64010,350000,success,64
64010,375000,collision,4
64010,375000,success,60
64010,400000,success,64
64011,0,truncation,16
64011,25000,success,16
64011,50000,success,16
64011,75000,success,16
64011,100000,collision,1
64011,100000,success,15
64011,125000,success,14
64011,125000,truncation,2
64011,150000,success,15
64011,150000,truncation,1
64011,175000,success,16
64011,200000,success,32
64011,200000,truncation,32
64011,225000,collision,4
64011,225000,success,56
64011,225000,truncation,4
64011,250000,collision,4
64011,250000,success,60
64011,275000,success,64
64011,300000,success,64
64011,325000,collision,4
64011,325000,success,60
64011,350000,success,56
64011,350000,truncation,8
64011,375000,collision,4
64011,375000,success,52
64011,375000,truncation,8
64011,400000,success,64
64012,0,collision,12
64012,0,success,4
64012,25000,success,9
64012,25000,truncation,7
64012,50000,success,1
64012,50000,truncation,15
64012,75000,success,11
64012,75000,truncation,5
64012,100000,collision,2
64012,100000,success,2
64012,100000,truncation,12
64012,125000,success,16
64012,150000,success,12
64012,150000,truncation,4
64012,175000,collision,2
64012,175000,success,1
64012,175000,truncation,13
64012,200000,collision,12
64012,200000,success,52
64012,225000,success,44
64012,225000,truncation,20
64012,250000,collision,4
64012,250000,success,32
64012,250000,truncation,28
64012,275000,success,60
64012,275000,truncation,4
64012,300000,collision,12
64012,300000,success,52
64012,325000,collision,8
64012,325000,success,36
64012,325000,truncation,20
64012,350000,success,64
64012,375000,success,56
64012,375000,truncation,8
64012,400000,collision,4
64012,400000,success,60
64013,0,collision,6
64013,0,success,10
64013,25000,success,10
64013,25000,truncation,6
64013,50000,collision,2
64013,50000,success,14
64013,75000,success,16
64013,100000,collision,6
64013,100000,success,9
64013,100000,truncation,1
64013,125000,success,7
64013,125000,truncation,9
64013,150000,collision,3
64013,150000,success,6
64013,150000,truncation,7
64013,175000,collision,3
64013,175000,success,6
64013,175000,truncation,7
64013,200000,collision,8
64013,200000,success,52
64013,200000,truncation,4
64013,225000,collision,12
64013,225000,success,36
64013,225000,truncation,16
64013,250000,collision,4
64013,250000,success,60
64013,275000,success,64
64013,300000,success,64
64013,325000,collision,12
64013,325000,success,52
64013,350000,success,32
64013,350000,truncation,32
64013,375000,collision,8
64013,375000,success,56
64013,400000,collision,12
64013,400000,success,32
64013,400000,truncation,20
64014,0,collision,5
64014,0,success,11
64014,25000,success,11
64014,25000,truncation,5
64014,50000,collision,5
64014,50000,success,11
64014,75000,success,16
64014,100000,collision,2
64014,100000,success,14
64014,125000,success,16
64014,150000,success,16
64014,175000,collision,4
64014,175000,success,12
64014,200000,success,64
64014,225000,success,64
64014,250000,success,40
64014,250000,truncation,24
64014,275000,success,44
64014,275000,truncation,20
64014,300000,success,64
64014,325000,collision,4
64014,325000,success,60
64014,350000,collision,4
64014,350000,success,60
64014,375000,success,64
64014,400000,success,64
64015,0,collision,7
64015,0,truncation,9
64015,25000,collision,4
64015,25000,success,11
64015,25000,truncation,1
64015,50000,collision,2
64015,50000,success,9
64015,50000,truncation,5
64015,75000,collision,4
64015,75000,success,12
64015,100000,collision,4
64015,100000,success,11
64015,100000,truncation,1
64015,125000,collision,1
64015,125000,success,15
64015,150000,collision,3
64015,150000,success,13
64015,175000,success,16
64015,200000,success,64
64015,225000,success,64
64015,250000,success,64
64015,275000,success,64
64015,300000,success,36
64015,300000,truncation,28
64015,325000,success,32
64015,325000,truncation,32
64015,350000,collision,8
64015,350000,success,28
64015,350000,truncation,28
64015,375000,success,64
64015,400000,success,64
64016,0,success,5
64016,0,truncation,11
64016,25000,success,7
64016,25000,truncation,9
64016,50000,success,16
64016,75000,collision,1
64016,75000,success,14
64016,75000,truncation,1
64016,100000,collision,1
64016,100000,success,15
64016,125000,success,16
64016,150000,collision,2
64016,150000,success,14
64016,175000,collision,1
64016,175000,success,11
64016,175000,truncation,4
64016,200000,collision,20
64016,200000,success,12
64016,200000,truncation,32
64016,225000,collision,8
64016,225000,success,48
64016,225000,truncation,8
64016,250000,success,64
64016,275000,collision,16
64016,275000,success,40
64016,275000,truncation,8
64016,300000,success,64
64016,325000,collision,8
64016,325000,success,56
64016,350000,collision,12
64016,350000,success,52
64016,375000,success,64
64016,400000,success,64
64017,0,truncation,16
64017,25000,collision,2
64017,25000,success,14
64017,50000,collision,1
64017,50000,success,15
64017,75000,collision,3
64017,75000,success,11
64017,75000,truncation,2
64017,100000,collision,3
64017,100000,success,13
64017,125000,success,10
64017,125000,truncation,6
64017,150000,collision,1
64017,150000,success,12
64017,150000,truncation,3
64017,175000,success,16
64017,200000,success,64
64017,225000,success,64
64017,250000,success,64
64017,275000,collision,12
64017,275000,success,16
64017,275000,truncation,36
64017,300000,success,56
64017,300000,truncation,8
64017,325000,collision,8
64017,325000,success,44
64017,325000,truncation,12
64017,350000,success,44
64017,350000,truncation,20
64017,375000,success,36
64017,375000,truncation,28
64017,400000,success,64
64018,0,collision,12
64018,0,success,4
64018,25000,collision,3
64018,25000,success,2
64018,25000,truncation,11
64018,50000,success,5
64018,50000,truncation,11
64018,75000,truncation,16
64018,100000,collision,2
64018,100000,success,13
64018,100000,truncation,1
64018,125000,success,15
64018,125000,truncation,1
64018,150000,collision,2
64018,150000,success,14
64018,175000,collision,1
64018,175000,success,15
64018,200000,collision,8
64018,200000,success,44
64018,200000,truncation,12
64018,225000,collision,4
64018,225000,success,48
64018,225000,truncation,12
64018,250000,success,64
64018,275000,collision,4
64018,275000,success,60
64018,300000,success,32
64018,300000,truncation,32
64018,325000,success,64
64018,350000,success,64
64018,375000,collision,4
64018,375000,success,60
64018,400000,collision,4
64018,400000,success,60
