checkpoint_step,reward_progress_A,reward_exit_A,reward_collision_A,reward_hard_braking_A,reward_active_time_A,reward_total_A,reward_progress_B,reward_exit_B,reward_collision_B,reward_hard_braking_B,reward_active_time_B,reward_total_B
0,0.18467881655827015,0.193125,-0.15625,-0.15364160156250017,-0.1156812500000001,-0.04776903500423015,0.21473393183687733,0.271875,-0.15625,-0.11277246093750018,-0.09351406250000008,0.12407240839937708
25000,0.3012773479028147,0.425625,-0.065625,-0.1748408203124988,-0.07119687500000005,0.41523965259031603,0.29868328030632296,0.421875,-0.065625,-0.1833837890624988,-0.07205781250000005,0.39949167874382424
50000,0.29757590939083195,0.43875000000000003,-0.0625,-0.14433398437499928,-0.06502812500000005,0.4644638000158329,0.30805165155938974,0.46875,-0.0625,-0.1357119140624991,-0.05595000000000004,0.522639737496891
75000,0.3102725035340826,0.4875,-0.065625,-0.09178417968749895,-0.04875156250000003,0.5916117613465837,0.31500161300592155,0.495,-0.065625,-0.09012304687499921,-0.04744531250000004,0.6068082536309225
100000,0.3143388276223261,0.49124999999999996,-0.103125,-0.0716396484374993,-0.04103906250000003,0.589785116684827,0.32189875543954677,0.504375,-0.103125,-0.07132324218749936,-0.03664218750000003,0.6151833257520475
125000,0.3234663970578008,0.515625,-0.0375,-0.08353124999999938,-0.04585468750000003,0.6722054595578016,0.31548904342701384,0.5081249999999999,-0.0375,-0.07717675781249919,-0.04733125000000003,0.6616060356145146
150000,0.3179987990296058,0.51,-0.075,-0.06694628906249919,-0.04000312500000003,0.6460493849671066,0.3128927271027979,0.49874999999999997,-0.075,-0.07949707031249911,-0.042415625000000026,0.6147300317902988
175000,0.31462333896123984,0.50625,-0.071875,-0.0779677734374992,-0.041725000000000026,0.6293055655237407,0.3239402055342699,0.5193749999999999,-0.071875,-0.07485644531249933,-0.03859687500000003,0.6579868852217706
200000,0.31329433967022674,0.504375,-0.05625,-0.06504785156249951,-0.045757812500000036,0.6506136756077272,0.3157587276382049,0.51,-0.05625,-0.0593261718749995,-0.043146875000000036,0.6670356807632054
225000,0.304140315349643,0.48562500000000003,-0.034375,-0.09571289062499949,-0.054534375000000045,0.6051430497246437,0.3319930889298638,0.5475,-0.034375,-0.05837695312499952,-0.03657343750000003,0.7501676983048644
250000,0.3192322823312327,0.5175,-0.053125,-0.062279296874999314,-0.04324062500000003,0.6780873604562333,0.3194083130626323,0.5193749999999999,-0.053125,-0.04693359374999957,-0.04174375000000003,0.6969809693126328
275000,0.33054051270087326,0.538125,-0.046875,-0.07324804687499935,-0.03850000000000003,0.7100424658258742,0.3206846868610577,0.5175,-0.046875,-0.07343261718749954,-0.04456093750000003,0.6733161321735583
300000,0.32659124940797585,0.534375,-0.025,-0.056003906249999166,-0.04078906250000003,0.7391732806579767,0.3257868563289063,0.51375,-0.025,-0.11625292968749978,-0.04981875000000004,0.6484651766414068
325000,0.3323319932827091,0.54375,-0.05625,-0.08917382812499927,-0.03426875000000003,0.69638941515771,0.33516471870606324,0.545625,-0.05625,-0.04717089843749924,-0.03335156250000003,0.744017257768564
350000,0.3239831413492635,0.5325,-0.04375,-0.05916796874999954,-0.03967187500000003,0.7138932975992639,0.32419328821973864,0.534375,-0.04375,-0.05218066406249926,-0.03729687500000003,0.7253407491572395
375000,0.3338650379210815,0.556875,-0.040625,-0.0433740234374993,-0.031971875000000025,0.7747691394835823,0.319526267499474,0.525,-0.040625,-0.06109277343749932,-0.04203750000000003,0.7007709940619746
400000,0.31652209491198185,0.5081249999999999,-0.09375,-0.06053906249999945,-0.03756093750000003,0.6327970949119824,0.30788653853283665,0.4875,-0.09375,-0.05850878906249959,-0.04252187500000003,0.6006058744703371
