master_seed,checkpoint_step,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,mean_episode_length
64001,0,0.0,0.0,1.0,0.0,16,400.0
64001,25000,0.75,0.125,0.125,0.125,16,139.3125
64001,50000,0.0,0.0,1.0,0.0,16,400.0
64001,75000,0.0625,0.0,0.9375,0.0,16,378.25
64001,100000,0.9375,0.0625,0.0,0.75,16,63.5625
64001,125000,1.0,0.0,0.0,0.375,16,62.25
64001,150000,0.625,0.0625,0.3125,0.0,16,167.6875
64001,175000,0.875,0.0,0.125,0.0,16,108.375
64001,200000,1.0,0.0,0.0,0.0,64,66.75
64001,225000,1.0,0.0,0.0,0.5,64,61.0
64001,250000,0.625,0.0,0.375,0.25,64,222.0
64001,275000,0.9375,0.0625,0.0,0.125,64,62.3125
64001,300000,0.875,0.0625,0.0625,0.125,64,86.875
64001,325000,0.4375,0.375,0.1875,0.0,64,122.5
64001,350000,0.6875,0.125,0.1875,0.25,64,131.9375
64001,375000,0.9375,0.0625,0.0,0.25,64,67.6875
64001,400000,0.625,0.125,0.25,0.0,64,137.8125
64002,0,0.0,0.0,1.0,0.0,16,400.0
64002,25000,0.9375,0.0,0.0625,0.375,16,86.625
64002,50000,1.0,0.0,0.0,0.5,16,62.125
64002,75000,0.8125,0.1875,0.0,0.625,16,53.25
64002,100000,0.9375,0.0,0.0625,0.5,16,93.25
64002,125000,1.0,0.0,0.0,0.125,16,57.1875
64002,150000,0.875,0.0625,0.0625,0.25,16,81.5
64002,175000,1.0,0.0,0.0,0.25,16,59.125
64002,200000,0.8125,0.125,0.0625,0.375,64,87.75
64002,225000,1.0,0.0,0.0,0.5,64,66.1875
64002,250000,0.4375,0.0625,0.5,0.0,64,231.0625
64002,275000,0.8125,0.0625,0.125,0.125,64,113.4375
64002,300000,0.375,0.0,0.625,0.0,64,281.1875
64002,325000,1.0,0.0,0.0,0.125,64,64.8125
64002,350000,1.0,0.0,0.0,0.75,64,59.9375
64002,375000,1.0,0.0,0.0,0.25,64,53.6875
64002,400000,1.0,0.0,0.0,0.5,64,60.9375
64003,0,0.0,0.0,1.0,0.0,16,400.0
64003,25000,0.5,0.0625,0.4375,0.0,16,230.4375
64003,50000,0.75,0.0,0.25,0.0,16,147.1875
64003,75000,0.5625,0.0,0.4375,0.125,16,210.0625
64003,100000,0.8125,0.1875,0.0,0.375,16,53.6875
64003,125000,0.875,0.125,0.0,0.375,16,50.75
64003,150000,1.0,0.0,0.0,0.5,16,57.375
64003,175000,1.0,0.0,0.0,0.375,16,55.4375
64003,200000,0.9375,0.0625,0.0,0.25,64,61.8125
64003,225000,0.3125,0.0,0.6875,0.0,64,292.0625
64003,250000,0.4375,0.0625,0.5,0.0,64,227.3125
64003,275000,0.875,0.125,0.0,0.625,64,61.125
64003,300000,0.5625,0.0,0.4375,0.125,64,237.5625
64003,325000,1.0,0.0,0.0,0.75,64,77.8125
64003,350000,0.9375,0.0625,0.0,0.5,64,59.6875
64003,375000,0.0625,0.0,0.9375,0.0,64,378.6875
64003,400000,0.0,0.0625,0.9375,0.0,64,376.8125
64004,0,0.0,0.1875,0.8125,0.0,16,331.75
64004,25000,0.9375,0.0,0.0625,0.5,16,86.0625
64004,50000,0.875,0.0625,0.0625,0.5,16,77.875
64004,75000,0.8125,0.0,0.1875,0.0,16,125.9375
64004,100000,1.0,0.0,0.0,0.75,16,78.25
64004,125000,0.75,0.25,0.0,0.0,16,46.1875
64004,150000,0.9375,0.0,0.0625,0.25,16,93.1875
64004,175000,1.0,0.0,0.0,0.875,16,61.9375
64004,200000,1.0,0.0,0.0,0.875,64,56.8125
64004,225000,0.9375,0.0,0.0625,0.75,64,73.1875
64004,250000,0.9375,0.0625,0.0,0.375,64,51.4375
64004,275000,0.6875,0.1875,0.125,0.0,64,96.9375
64004,300000,0.875,0.125,0.0,0.125,64,54.75
64004,325000,1.0,0.0,0.0,0.25,64,64.9375
64004,350000,0.875,0.125,0.0,0.125,64,49.625
64004,375000,0.875,0.125,0.0,0.0,64,58.0
64004,400000,0.5625,0.1875,0.25,0.0,64,144.8125
64005,0,0.0,0.0,1.0,0.0,16,400.0
64005,25000,0.4375,0.125,0.4375,0.0,16,213.125
64005,50000,0.4375,0.1875,0.375,0.0,16,184.5625
64005,75000,0.3125,0.0625,0.625,0.0,16,276.1875
64005,100000,0.0625,0.0,0.9375,0.0,16,381.75
64005,125000,0.0,0.0,1.0,0.0,16,400.0
64005,150000,0.5625,0.4375,0.0,0.25,16,42.8125
64005,175000,0.625,0.0,0.375,0.25,16,214.25
64005,200000,0.5625,0.0,0.4375,0.0,64,231.3125
64005,225000,0.9375,0.0,0.0625,0.0,64,90.6875
64005,250000,1.0,0.0,0.0,0.125,64,56.75
64005,275000,0.9375,0.0,0.0625,0.0,64,89.25
64005,300000,1.0,0.0,0.0,0.125,64,59.0
64005,325000,1.0,0.0,0.0,0.25,64,73.375
64005,350000,0.9375,0.0625,0.0,0.375,64,51.0
64005,375000,0.75,0.0625,0.1875,0.125,64,147.125
64005,400000,0.875,0.125,0.0,0.375,64,52.3125
64006,0,0.0,0.0,1.0,0.0,16,400.0
64006,25000,0.6875,0.0,0.3125,0.25,16,187.0
64006,50000,0.6875,0.0,0.3125,0.25,16,174.5625
64006,75000,0.875,0.125,0.0,0.25,16,90.0
64006,100000,1.0,0.0,0.0,0.5,16,58.9375
64006,125000,1.0,0.0,0.0,0.375,16,66.125
64006,150000,0.9375,0.0625,0.0,0.75,16,48.25
64006,175000,1.0,0.0,0.0,0.375,16,55.125
64006,200000,1.0,0.0,0.0,0.125,64,63.75
64006,225000,0.5,0.0,0.5,0.0,64,228.1875
64006,250000,0.9375,0.0625,0.0,0.375,64,69.75
64006,275000,1.0,0.0,0.0,0.375,64,59.875
64006,300000,0.75,0.0,0.25,0.0,64,142.4375
64006,325000,1.0,0.0,0.0,0.875,64,55.125
64006,350000,0.375,0.0,0.625,0.125,64,268.0
64006,375000,0.4375,0.0625,0.5,0.0,64,227.0625
64006,400000,0.5,0.0,0.5,0.0,64,247.25
64007,0,0.3125,0.1875,0.5,0.0,16,228.1875
64007,25000,0.5625,0.125,0.3125,0.0,16,192.75
64007,50000,0.9375,0.0,0.0625,0.0,16,104.625
64007,75000,0.9375,0.0,0.0625,0.0,16,75.8125
64007,100000,0.75,0.25,0.0,0.25,16,43.0625
64007,125000,0.9375,0.0625,0.0,0.125,16,57.1875
64007,150000,0.9375,0.0625,0.0,0.0,16,57.8125
64007,175000,0.4375,0.0625,0.5,0.0,16,224.4375
64007,200000,0.5,0.0625,0.4375,0.0,64,204.9375
64007,225000,0.9375,0.0625,0.0,0.875,64,64.4375
64007,250000,1.0,0.0,0.0,0.625,64,66.4375
64007,275000,1.0,0.0,0.0,0.75,64,56.3125
64007,300000,0.0,0.0,1.0,0.0,64,400.0
64007,325000,0.9375,0.0625,0.0,0.875,64,75.25
64007,350000,0.8125,0.0625,0.125,0.75,64,125.375
64007,375000,0.9375,0.0625,0.0,0.875,64,50.4375
64007,400000,1.0,0.0,0.0,1.0,64,53.0625
64008,0,0.0,0.0,1.0,0.0,16,400.0
64008,25000,0.3125,0.25,0.4375,0.0,16,230.3125
64008,50000,0.6875,0.1875,0.125,0.0,16,102.1875
64008,75000,1.0,0.0,0.0,0.375,16,53.9375
64008,100000,1.0,0.0,0.0,0.25,16,59.0
64008,125000,0.9375,0.0625,0.0,0.375,16,50.375
64008,150000,0.5625,0.125,0.3125,0.125,16,156.8125
64008,175000,1.0,0.0,0.0,0.5,16,63.375
64008,200000,1.0,0.0,0.0,0.75,64,59.1875
64008,225000,1.0,0.0,0.0,0.0,64,56.6875
64008,250000,0.75,0.1875,0.0625,0.125,64,74.4375
64008,275000,1.0,0.0,0.0,0.25,64,52.25
64008,300000,1.0,0.0,0.0,0.125,64,56.0625
64008,325000,0.75,0.0,0.25,0.0,64,144.3125
64008,350000,1.0,0.0,0.0,0.125,64,53.1875
64008,375000,1.0,0.0,0.0,0.0,64,53.75
64008,400000,0.75,0.25,0.0,0.0,64,47.0
64009,0,0.0,0.0,1.0,0.0,16,400.0
64009,25000,0.0625,0.0625,0.875,0.0,16,355.9375
64009,50000,0.6875,0.0,0.3125,0.0,16,167.375
64009,75000,0.625,0.25,0.125,0.0,16,108.8125
64009,100000,0.8125,0.125,0.0625,0.0,16,78.5
64009,125000,0.9375,0.0,0.0625,0.125,16,76.75
64009,150000,0.875,0.0,0.125,0.5,16,95.5625
64009,175000,0.9375,0.0625,0.0,0.25,16,53.375
64009,200000,0.875,0.125,0.0,0.375,64,50.3125
64009,225000,1.0,0.0,0.0,0.625,64,52.125
64009,250000,0.9375,0.0625,0.0,0.125,64,46.125
64009,275000,1.0,0.0,0.0,0.0,64,65.875
64009,300000,0.9375,0.0625,0.0,0.25,64,48.3125
64009,325000,1.0,0.0,0.0,0.25,64,59.25
64009,350000,1.0,0.0,0.0,0.125,64,66.25
64009,375000,1.0,0.0,0.0,0.375,64,65.3125
64009,400000,0.1875,0.375,0.4375,0.0,64,201.6875
64010,0,0.0,0.0,1.0,0.0,16,400.0
64010,25000,0.5625,0.0,0.4375,0.0,16,214.5
64010,50000,0.25,0.0625,0.6875,0.0,16,302.5
64010,75000,0.9375,0.0,0.0625,0.875,16,93.875
64010,100000,0.5,0.125,0.375,0.0,16,191.1875
64010,125000,0.125,0.0,0.875,0.0,16,360.0625
64010,150000,0.3125,0.0,0.6875,0.0,16,295.5
64010,175000,0.6875,0.3125,0.0,0.25,16,52.0625
64010,200000,0.9375,0.0,0.0625,0.25,64,77.25
64010,225000,0.3125,0.1875,0.5,0.0,64,221.8125
64010,250000,0.5,0.25,0.25,0.375,64,181.5625
64010,275000,1.0,0.0,0.0,0.375,64,66.0625
64010,300000,1.0,0.0,0.0,0.375,64,57.75
64010,325000,1.0,0.0,0.0,0.125,64,71.8125
64010,350000,1.0,0.0,0.0,0.625,64,52.5
64010,375000,0.9375,0.0625,0.0,0.375,64,50.3125
64010,400000,1.0,0.0,0.0,0.375,64,52.375
64011,0,0.0,0.0,1.0,0.0,16,400.0
64011,25000,1.0,0.0,0.0,0.625,16,75.875
64011,50000,1.0,0.0,0.0,0.5,16,65.4375
64011,75000,1.0,0.0,0.0,0.375,16,51.4375
64011,100000,0.9375,0.0625,0.0,0.375,16,68.0625
64011,125000,0.875,0.0,0.125,0.125,16,104.8125
64011,150000,0.9375,0.0,0.0625,0.25,16,81.25
64011,175000,1.0,0.0,0.0,0.0,16,120.0
64011,200000,0.5,0.0,0.5,0.125,64,264.0
64011,225000,0.875,0.0625,0.0625,0.25,64,111.125
64011,250000,0.9375,0.0625,0.0,0.5,64,55.8125
64011,275000,1.0,0.0,0.0,0.875,64,60.1875
64011,300000,1.0,0.0,0.0,0.625,64,62.0625
64011,325000,0.9375,0.0625,0.0,0.0,64,55.9375
64011,350000,0.875,0.0,0.125,0.125,64,104.4375
64011,375000,0.8125,0.0625,0.125,0.125,64,101.4375
64011,400000,1.0,0.0,0.0,0.25,64,49.25
64012,0,0.25,0.75,0.0,0.0,16,25.0
64012,25000,0.5625,0.0,0.4375,0.25,16,207.0625
64012,50000,0.0625,0.0,0.9375,0.0,16,383.625
64012,75000,0.6875,0.0,0.3125,0.0,16,170.625
64012,100000,0.125,0.125,0.75,0.0,16,310.375
64012,125000,1.0,0.0,0.0,1.0,16,68.875
64012,150000,0.75,0.0,0.25,0.125,16,151.875
64012,175000,0.0625,0.125,0.8125,0.0,16,333.375
64012,200000,0.8125,0.1875,0.0,0.5,64,74.3125
64012,225000,0.6875,0.0,0.3125,0.125,64,183.5
64012,250000,0.5,0.0625,0.4375,0.0,64,205.9375
64012,275000,0.9375,0.0,0.0625,0.0,64,84.1875
64012,300000,0.8125,0.1875,0.0,0.375,64,76.3125
64012,325000,0.5625,0.125,0.3125,0.25,64,185.0
64012,350000,1.0,0.0,0.0,0.625,64,56.625
64012,375000,0.875,0.0,0.125,0.375,64,97.125
64012,400000,0.9375,0.0625,0.0,0.75,64,50.5625
64013,0,0.625,0.375,0.0,0.125,16,42.0
