checkpoint_step,mean_success,mean_collision,mean_truncation,n_seeds
0,0.165625,0.15625,0.678125,20
25000,0.6125,0.065625,0.321875,20
50000,0.65625,0.0625,0.28125,20
75000,0.734375,0.065625,0.2,20
100000,0.778125,0.103125,0.11875,20
125000,0.775,0.0375,0.1875,20
150000,0.784375,0.075,0.140625,20
175000,0.803125,0.071875,0.125,20
200000,0.778125,0.05625,0.165625,20
225000,0.771875,0.034375,0.19375,20
250000,0.790625,0.053125,0.15625,20
275000,0.834375,0.046875,0.11875,20
300000,0.803125,0.025,0.171875,20
325000,0.871875,0.05625,0.071875,20
350000,0.8375,0.04375,0.11875,20
375000,0.84375,0.040625,0.115625,20
400000,0.7625,0.09375,0.14375,20
