master_seed,checkpoint_step,condition,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,rich_log
66001,0,mean_pbrs,1.0,0.0,0.0,1.0,16,True
66001,25000,mean_pbrs,0.5625,0.1875,0.25,0.125,16,False
66001,50000,mean_pbrs,0.6875,0.125,0.1875,0.125,16,False
66001,75000,mean_pbrs,0.1875,0.1875,0.625,0.0,16,False
66001,100000,mean_pbrs,0.875,0.125,0.0,0.25,16,False
66001,125000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66001,150000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66001,175000,mean_pbrs,0.9375,0.0,0.0625,0.0,16,False
66001,200000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66001,225000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66001,250000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66001,275000,mean_pbrs,0.9375,0.0,0.0625,0.125,64,False
66001,300000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66001,325000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66001,350000,mean_pbrs,0.875,0.125,0.0,0.125,64,True
66001,375000,mean_pbrs,1.0,0.0,0.0,0.25,64,True
66001,400000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66002,0,mean_pbrs,0.0625,0.75,0.1875,0.0,16,True
66002,25000,mean_pbrs,0.5625,0.0,0.4375,0.0,16,False
66002,50000,mean_pbrs,0.125,0.1875,0.6875,0.0,16,False
66002,75000,mean_pbrs,0.125,0.0,0.875,0.0,16,False
66002,100000,mean_pbrs,0.0,0.0625,0.9375,0.0,16,False
66002,125000,mean_pbrs,1.0,0.0,0.0,0.75,16,False
66002,150000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66002,175000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66002,200000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66002,225000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66002,250000,mean_pbrs,0.9375,0.0,0.0625,0.5,64,False
66002,275000,mean_pbrs,1.0,0.0,0.0,0.5,64,False
66002,300000,mean_pbrs,0.8125,0.125,0.0625,0.25,64,False
66002,325000,mean_pbrs,1.0,0.0,0.0,0.5,64,False
66002,350000,mean_pbrs,1.0,0.0,0.0,0.75,64,True
66002,375000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66002,400000,mean_pbrs,1.0,0.0,0.0,0.5,64,True
66003,0,mean_pbrs,0.0,0.125,0.875,0.0,16,True
66003,25000,mean_pbrs,0.625,0.125,0.25,0.25,16,False
66003,50000,mean_pbrs,0.375,0.1875,0.4375,0.125,16,False
66003,75000,mean_pbrs,0.4375,0.0,0.5625,0.0,16,False
66003,100000,mean_pbrs,0.9375,0.0625,0.0,0.375,16,False
66003,125000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66003,150000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66003,175000,mean_pbrs,0.875,0.125,0.0,0.0,16,False
66003,200000,mean_pbrs,0.875,0.125,0.0,0.25,64,False
66003,225000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66003,250000,mean_pbrs,0.9375,0.0625,0.0,0.375,64,False
66003,275000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66003,300000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66003,325000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66003,350000,mean_pbrs,1.0,0.0,0.0,0.125,64,True
66003,375000,mean_pbrs,1.0,0.0,0.0,0.25,64,True
66003,400000,mean_pbrs,1.0,0.0,0.0,0.25,64,True
66004,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66004,25000,mean_pbrs,0.5625,0.0,0.4375,0.0,16,False
66004,50000,mean_pbrs,0.3125,0.0,0.6875,0.0,16,False
66004,75000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66004,100000,mean_pbrs,0.9375,0.0625,0.0,0.125,16,False
66004,125000,mean_pbrs,0.75,0.0625,0.1875,0.125,16,False
66004,150000,mean_pbrs,0.9375,0.0625,0.0,0.0,16,False
66004,175000,mean_pbrs,0.5,0.0625,0.4375,0.0,16,False
66004,200000,mean_pbrs,0.5,0.0,0.5,0.0,64,False
66004,225000,mean_pbrs,0.5,0.0,0.5,0.0,64,False
66004,250000,mean_pbrs,0.4375,0.0625,0.5,0.0,64,False
66004,275000,mean_pbrs,0.9375,0.0625,0.0,0.75,64,False
66004,300000,mean_pbrs,0.875,0.0,0.125,0.625,64,False
66004,325000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66004,350000,mean_pbrs,1.0,0.0,0.0,0.5,64,True
66004,375000,mean_pbrs,0.875,0.125,0.0,0.25,64,True
66004,400000,mean_pbrs,1.0,0.0,0.0,0.125,64,True
66005,0,mean_pbrs,0.5,0.0,0.5,0.0,16,True
66005,25000,mean_pbrs,0.9375,0.0625,0.0,0.0,16,False
66005,50000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66005,75000,mean_pbrs,1.0,0.0,0.0,0.375,16,False
66005,100000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66005,125000,mean_pbrs,0.5,0.0,0.5,0.0,16,False
66005,150000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66005,175000,mean_pbrs,0.5625,0.3125,0.125,0.0,16,False
66005,200000,mean_pbrs,0.75,0.1875,0.0625,0.0,64,False
66005,225000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66005,250000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66005,275000,mean_pbrs,1.0,0.0,0.0,0.5,64,False
66005,300000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66005,325000,mean_pbrs,0.9375,0.0,0.0625,0.0,64,False
66005,350000,mean_pbrs,0.9375,0.0625,0.0,0.25,64,True
66005,375000,mean_pbrs,1.0,0.0,0.0,0.375,64,True
66005,400000,mean_pbrs,1.0,0.0,0.0,0.5,64,True
66006,0,mean_pbrs,0.1875,0.0,0.8125,0.0,16,True
66006,25000,mean_pbrs,0.6875,0.0,0.3125,0.25,16,False
66006,50000,mean_pbrs,0.875,0.0,0.125,0.625,16,False
66006,75000,mean_pbrs,0.0625,0.125,0.8125,0.0,16,False
66006,100000,mean_pbrs,0.6875,0.0625,0.25,0.125,16,False
66006,125000,mean_pbrs,0.875,0.0625,0.0625,0.375,16,False
66006,150000,mean_pbrs,0.875,0.0,0.125,0.5,16,False
66006,175000,mean_pbrs,0.9375,0.0625,0.0,0.375,16,False
66006,200000,mean_pbrs,0.625,0.0625,0.3125,0.0,64,False
66006,225000,mean_pbrs,0.8125,0.0625,0.125,0.375,64,False
66006,250000,mean_pbrs,0.9375,0.0625,0.0,0.25,64,False
66006,275000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66006,300000,mean_pbrs,0.875,0.0625,0.0625,0.25,64,False
66006,325000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66006,350000,mean_pbrs,0.75,0.0,0.25,0.125,64,True
66006,375000,mean_pbrs,0.9375,0.0625,0.0,0.5,64,True
66006,400000,mean_pbrs,0.9375,0.0625,0.0,0.375,64,True
66007,0,mean_pbrs,0.875,0.125,0.0,0.125,16,True
66007,25000,mean_pbrs,0.875,0.125,0.0,0.375,16,False
66007,50000,mean_pbrs,0.8125,0.1875,0.0,0.625,16,False
66007,75000,mean_pbrs,0.5,0.0,0.5,0.0,16,False
66007,100000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66007,125000,mean_pbrs,1.0,0.0,0.0,0.375,16,False
66007,150000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66007,175000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66007,200000,mean_pbrs,0.8125,0.0,0.1875,0.5,64,False
66007,225000,mean_pbrs,0.75,0.0,0.25,0.375,64,False
66007,250000,mean_pbrs,0.8125,0.0625,0.125,0.25,64,False
66007,275000,mean_pbrs,0.75,0.25,0.0,0.125,64,False
66007,300000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66007,325000,mean_pbrs,0.9375,0.0625,0.0,0.5,64,False
66007,350000,mean_pbrs,0.875,0.125,0.0,0.25,64,True
66007,375000,mean_pbrs,0.875,0.125,0.0,0.125,64,True
66007,400000,mean_pbrs,1.0,0.0,0.0,0.5,64,True
66008,0,mean_pbrs,1.0,0.0,0.0,0.0,16,True
66008,25000,mean_pbrs,0.5625,0.0,0.4375,0.0,16,False
66008,50000,mean_pbrs,0.6875,0.25,0.0625,0.0,16,False
66008,75000,mean_pbrs,0.875,0.0625,0.0625,0.0,16,False
66008,100000,mean_pbrs,0.5625,0.0,0.4375,0.0,16,False
66008,125000,mean_pbrs,1.0,0.0,0.0,0.625,16,False
66008,150000,mean_pbrs,0.875,0.125,0.0,0.625,16,False
66008,175000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66008,200000,mean_pbrs,1.0,0.0,0.0,0.5,64,False
66008,225000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66008,250000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66008,275000,mean_pbrs,0.8125,0.1875,0.0,0.0,64,False
66008,300000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66008,325000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66008,350000,mean_pbrs,1.0,0.0,0.0,0.5,64,True
66008,375000,mean_pbrs,1.0,0.0,0.0,0.375,64,True
66008,400000,mean_pbrs,1.0,0.0,0.0,0.75,64,True
66009,0,mean_pbrs,0.5,0.0,0.5,0.0,16,True
66009,25000,mean_pbrs,0.875,0.0,0.125,0.0,16,False
66009,50000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66009,75000,mean_pbrs,0.8125,0.0625,0.125,0.25,16,False
66009,100000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66009,125000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
