policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,1,accelerate-accelerate,0.8380950689315796,0.8602294921875,0.7996758222579956,1,0.8602294921875,0.8380950689315796,0.02213442325592041,0.060553669929504395,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
0,0.0,B,ramp,True,False,20.0,20.0,1,accelerate,0.0,2.0000000000000284,28.0,20.0,1,1,accelerate-accelerate,0.5647101402282715,0.5656992197036743,0.5510718822479248,1,0.5656992197036743,0.5647101402282715,0.000989079475402832,0.014627337455749512,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,1,accelerate,2.0,2.0000000000000284,24.040000000000003,20.400000000000006,1,0,accelerate-maintain,0.8393571376800537,0.8642343878746033,0.7973841428756714,1,0.8642343878746033,0.8393571376800537,0.02487725019454956,0.06685024499893188,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
1,0.2,B,ramp,True,False,24.040000000000003,20.400000000000006,0,maintain,2.0,0.0,32.04,20.400000000000006,1,0,accelerate-maintain,0.5618539452552795,0.5616514086723328,0.5499982833862305,0,0.5618539452552795,0.5616514086723328,0.00020253658294677734,0.011855661869049072,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
2,0.4,A,mainline,True,False,36.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,28.12,20.400000000000006,1,0,accelerate-maintain,0.8377954959869385,0.8569496273994446,0.8050253391265869,1,0.8569496273994446,0.8377954959869385,0.019154131412506104,0.051924288272857666,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
2,0.4,B,ramp,True,False,28.12,20.400000000000006,0,maintain,0.0,0.0,36.160000000000004,20.80000000000001,1,0,accelerate-maintain,0.5601277947425842,0.559255063533783,0.5497890114784241,0,0.5601277947425842,0.559255063533783,0.0008727312088012695,0.010338783264160156,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
3,0.6000000000000001,A,mainline,True,False,40.36000000000001,21.200000000000017,1,accelerate,2.0,2.0000000000000284,32.2,20.400000000000006,1,0,accelerate-maintain,0.8355236053466797,0.8476912379264832,0.8137606382369995,1,0.8476912379264832,0.8355236053466797,0.012167632579803467,0.03393059968948364,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
3,0.6000000000000001,B,ramp,True,False,32.2,20.400000000000006,0,maintain,0.0,0.0,40.36000000000001,21.200000000000017,1,0,accelerate-maintain,0.558401882648468,0.5568776726722717,0.5495482683181763,0,0.558401882648468,0.5568776726722717,0.001524209976196289,0.008853614330291748,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
4,0.8,A,mainline,True,False,44.64000000000001,21.600000000000023,1,accelerate,2.0,2.0000000000000284,36.280000000000015,20.400000000000006,1,0,accelerate-maintain,0.8239189386367798,0.8324899673461914,0.8069566488265991,1,0.8324899673461914,0.8239189386367798,0.008571028709411621,0.025533318519592285,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
4,0.8,B,ramp,True,False,36.280000000000015,20.400000000000006,0,maintain,0.0,0.0,44.64000000000001,21.600000000000023,1,0,accelerate-maintain,0.5568052530288696,0.5546492338180542,0.5494085550308228,0,0.5568052530288696,0.5546492338180542,0.0021560192108154297,0.007396697998046875,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
5,1.0,A,mainline,True,False,49.000000000000014,22.00000000000003,1,accelerate,2.0,2.0000000000000284,40.36000000000003,20.400000000000006,1,0,accelerate-maintain,0.8091521263122559,0.816314160823822,0.7936161756515503,1,0.816314160823822,0.8091521263122559,0.007162034511566162,0.02269798517227173,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
5,1.0,B,ramp,True,False,40.36000000000003,20.400000000000006,0,maintain,0.0,0.0,49.000000000000014,22.00000000000003,1,0,accelerate-maintain,0.5554193258285522,0.5526517629623413,0.549453616142273,0,0.5554193258285522,0.5526517629623413,0.0027675628662109375,0.005965709686279297,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
6,1.2000000000000002,A,mainline,True,False,53.44000000000002,22.400000000000034,1,accelerate,2.0,2.0000000000000284,44.44000000000004,20.400000000000006,1,0,accelerate-maintain,0.7981524467468262,0.8044959902763367,0.7831515073776245,1,0.8044959902763367,0.7981524467468262,0.006343543529510498,0.021344482898712158,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
6,1.2000000000000002,B,ramp,True,False,44.44000000000004,20.400000000000006,0,maintain,0.0,0.0,53.44000000000002,22.400000000000034,1,0,accelerate-maintain,0.5536565780639648,0.5504035949707031,0.5489107370376587,0,0.5536565780639648,0.5504035949707031,0.0032529830932617188,0.004745841026306152,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
7,1.4000000000000001,A,mainline,True,False,57.96000000000003,22.80000000000004,1,accelerate,2.0,2.0000000000000284,48.52000000000005,20.400000000000006,1,0,accelerate-maintain,0.7866957187652588,0.7917636036872864,0.7725849151611328,1,0.7917636036872864,0.7866957187652588,0.005067884922027588,0.019178688526153564,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
7,1.4000000000000001,B,ramp,True,False,48.52000000000005,20.400000000000006,0,maintain,0.0,0.0,57.96000000000003,22.80000000000004,1,0,accelerate-maintain,0.5512229204177856,0.5476058125495911,0.547296404838562,0,0.5512229204177856,0.5476058125495911,0.00361710786819458,0.003926515579223633,"[true, true, true]",False,False,False,66011,375000,103b3d2d2b9da2465e6b2439b9fc213593269cee4457a899f4e2c2341ba32bb4,validation_001,0,0,1200103500,0,,
