master_seed,checkpoint_step,condition,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,rich_log
67001,0,min_pbrs,0.4375,0.5625,0.0,0.125,16,True
67001,25000,min_pbrs,1.0,0.0,0.0,0.5,16,False
67001,50000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67001,75000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67001,100000,min_pbrs,0.875,0.125,0.0,0.125,16,False
67001,125000,min_pbrs,0.875,0.0625,0.0625,0.0,16,False
67001,150000,min_pbrs,1.0,0.0,0.0,0.375,16,False
67001,175000,min_pbrs,0.9375,0.0625,0.0,0.125,16,False
67001,200000,min_pbrs,1.0,0.0,0.0,0.0,64,False
67001,225000,min_pbrs,0.8125,0.1875,0.0,0.0,64,False
67001,250000,min_pbrs,0.6875,0.0,0.3125,0.125,64,False
67001,275000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67001,300000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67001,325000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67001,350000,min_pbrs,1.0,0.0,0.0,0.375,64,True
67001,375000,min_pbrs,0.9375,0.0625,0.0,0.125,64,True
67001,400000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67002,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67002,25000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67002,50000,min_pbrs,0.4375,0.0625,0.5,0.0,16,False
67002,75000,min_pbrs,0.5,0.0,0.5,0.0,16,False
67002,100000,min_pbrs,1.0,0.0,0.0,0.625,16,False
67002,125000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67002,150000,min_pbrs,0.875,0.125,0.0,0.25,16,False
67002,175000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67002,200000,min_pbrs,1.0,0.0,0.0,0.375,64,False
67002,225000,min_pbrs,0.9375,0.0,0.0625,0.25,64,False
67002,250000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67002,275000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67002,300000,min_pbrs,0.9375,0.0625,0.0,0.25,64,False
67002,325000,min_pbrs,0.875,0.0,0.125,0.125,64,False
67002,350000,min_pbrs,0.9375,0.0625,0.0,0.25,64,True
67002,375000,min_pbrs,1.0,0.0,0.0,0.625,64,True
67002,400000,min_pbrs,0.9375,0.0625,0.0,0.625,64,True
67003,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67003,25000,min_pbrs,0.75,0.0,0.25,0.125,16,False
67003,50000,min_pbrs,0.3125,0.0,0.6875,0.0,16,False
67003,75000,min_pbrs,0.5,0.0625,0.4375,0.125,16,False
67003,100000,min_pbrs,0.8125,0.0,0.1875,0.375,16,False
67003,125000,min_pbrs,0.625,0.0,0.375,0.25,16,False
67003,150000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67003,175000,min_pbrs,0.75,0.0,0.25,0.125,16,False
67003,200000,min_pbrs,1.0,0.0,0.0,0.5,64,False
67003,225000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67003,250000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67003,275000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67003,300000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67003,325000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67003,350000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67003,375000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67003,400000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67004,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67004,25000,min_pbrs,0.25,0.4375,0.3125,0.0,16,False
67004,50000,min_pbrs,1.0,0.0,0.0,0.5,16,False
67004,75000,min_pbrs,0.5625,0.0625,0.375,0.0,16,False
67004,100000,min_pbrs,0.9375,0.0625,0.0,0.0,16,False
67004,125000,min_pbrs,0.4375,0.375,0.1875,0.0,16,False
67004,150000,min_pbrs,0.5625,0.0625,0.375,0.0,16,False
67004,175000,min_pbrs,0.875,0.125,0.0,0.125,16,False
67004,200000,min_pbrs,0.9375,0.0625,0.0,0.25,64,False
67004,225000,min_pbrs,0.5625,0.0625,0.375,0.0,64,False
67004,250000,min_pbrs,0.9375,0.0,0.0625,0.25,64,False
