policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,0,accelerate-maintain,0.8503352403640747,0.8508000373840332,0.8461996912956238,1,0.8508000373840332,0.8503352403640747,0.0004647970199584961,0.004600346088409424,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
0,0.0,B,ramp,True,False,20.0,20.0,0,maintain,0.0,0.0,28.0,20.0,1,0,accelerate-maintain,0.6890988945960999,0.6879453063011169,0.6873850226402283,0,0.6890988945960999,0.6879453063011169,0.0011535882949829102,0.001713871955871582,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,2,decelerate,2.0,-2.9999999999999716,24.0,20.0,2,0,decelerate-maintain,0.8591285943984985,0.8580454587936401,0.8600788712501526,2,0.8600788712501526,0.8591285943984985,0.0009502768516540527,0.002033412456512451,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
1,0.2,B,ramp,True,False,24.0,20.0,0,maintain,0.0,0.0,32.04,20.400000000000006,2,0,decelerate-maintain,0.6916705369949341,0.690629780292511,0.690190315246582,0,0.6916705369949341,0.690629780292511,0.0010407567024230957,0.0014802217483520508,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
2,0.4,A,mainline,True,False,36.059999999999995,19.80000000000001,1,accelerate,-3.0,2.0000000000000284,28.0,20.0,1,0,accelerate-maintain,0.8332565426826477,0.841137170791626,0.818077802658081,1,0.841137170791626,0.8332565426826477,0.007880628108978271,0.023059368133544922,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
2,0.4,B,ramp,True,False,28.0,20.0,0,maintain,0.0,0.0,36.059999999999995,19.80000000000001,1,0,accelerate-maintain,0.6830011606216431,0.6812904477119446,0.682892918586731,0,0.6830011606216431,0.682892918586731,0.00010824203491210938,0.0017107129096984863,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
3,0.6000000000000001,A,mainline,True,False,40.059999999999995,20.200000000000017,1,accelerate,2.0,2.0000000000000284,32.0,20.0,1,0,accelerate-maintain,0.8397752642631531,0.8463877439498901,0.8291117548942566,1,0.8463877439498901,0.8397752642631531,0.0066124796867370605,0.017275989055633545,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
3,0.6000000000000001,B,ramp,True,False,32.0,20.0,0,maintain,0.0,0.0,40.059999999999995,20.200000000000017,1,0,accelerate-maintain,0.682096540927887,0.6804105639457703,0.681861937046051,0,0.682096540927887,0.681861937046051,0.0002346038818359375,0.0016859769821166992,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
4,0.8,A,mainline,True,False,44.14,20.600000000000023,1,accelerate,2.0,2.0000000000000284,36.0,20.0,1,0,accelerate-maintain,0.8455408215522766,0.8508373498916626,0.8393773436546326,1,0.8508373498916626,0.8455408215522766,0.005296528339385986,0.01146000623703003,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
4,0.8,B,ramp,True,False,36.0,20.0,0,maintain,0.0,0.0,44.14,20.600000000000023,1,0,accelerate-maintain,0.6824053525924683,0.6808914542198181,0.6822428107261658,0,0.6824053525924683,0.6822428107261658,0.00016254186630249023,0.0015138983726501465,"[true, true, true]",False,False,False,67016,375000,c17c2c4b4e8fcdc7a593b0d6b1e1e2830e53a38223850913fbe270aa10061dd3,validation_001,0,0,1893283296,0,,
