policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap
0,0.0,A,mainline,True,False,28.0,20.0,2,decelerate,0.0,-2.9999999999999716,20.0,20.0,2,1,decelerate-accelerate,0.611932635307312,0.6014081239700317,0.6164425611495972,2,0.6164425611495972,0.611932635307312,0.004509925842285156,0.01503443717956543,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
0,0.0,B,ramp,True,False,20.0,20.0,1,accelerate,0.0,2.0000000000000284,28.0,20.0,2,1,decelerate-accelerate,0.7194184064865112,0.7241023778915405,0.7000178694725037,1,0.7241023778915405,0.7194184064865112,0.004683971405029297,0.024084508419036865,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
1,0.2,A,mainline,True,False,31.939999999999998,19.400000000000006,0,maintain,-3.0,0.0,24.040000000000003,20.400000000000006,0,1,maintain-accelerate,0.6038303375244141,0.6038194894790649,0.5950114130973816,0,0.6038303375244141,0.6038194894790649,1.0848045349121094e-05,0.00881892442703247,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
1,0.2,B,ramp,True,False,24.040000000000003,20.400000000000006,1,accelerate,2.0,2.0000000000000284,31.939999999999998,19.400000000000006,0,1,maintain-accelerate,0.7238211631774902,0.7299231290817261,0.7117846012115479,1,0.7299231290817261,0.7238211631774902,0.00610196590423584,0.018138527870178223,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
2,0.4,A,mainline,True,False,35.81999999999999,19.400000000000006,0,maintain,0.0,0.0,28.160000000000004,20.80000000000001,0,1,maintain-accelerate,0.6006934642791748,0.5999541282653809,0.5917587876319885,0,0.6006934642791748,0.5999541282653809,0.0007393360137939453,0.00893467664718628,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
2,0.4,B,ramp,True,False,28.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,35.81999999999999,19.400000000000006,0,1,maintain-accelerate,0.72721266746521,0.7324104309082031,0.7153592109680176,1,0.7324104309082031,0.72721266746521,0.005197763442993164,0.017051219940185547,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
3,0.6000000000000001,A,mainline,True,False,39.69999999999999,19.400000000000006,0,maintain,0.0,0.0,32.36000000000001,21.200000000000017,0,1,maintain-accelerate,0.5934503078460693,0.5922781825065613,0.5843924283981323,0,0.5934503078460693,0.5922781825065613,0.0011721253395080566,0.009057879447937012,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
3,0.6000000000000001,B,ramp,True,False,32.36000000000001,21.200000000000017,1,accelerate,2.0,2.0000000000000284,39.69999999999999,19.400000000000006,0,1,maintain-accelerate,0.7213345766067505,0.7255008220672607,0.709138810634613,1,0.7255008220672607,0.7213345766067505,0.004166245460510254,0.016362011432647705,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
4,0.8,A,mainline,True,False,43.579999999999984,19.400000000000006,0,maintain,0.0,0.0,36.64000000000001,21.600000000000023,0,1,maintain-accelerate,0.5898852348327637,0.5873831510543823,0.5834472179412842,0,0.5898852348327637,0.5873831510543823,0.0025020837783813477,0.006438016891479492,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
4,0.8,B,ramp,True,False,36.64000000000001,21.600000000000023,1,accelerate,2.0,2.0000000000000284,43.579999999999984,19.400000000000006,0,1,maintain-accelerate,0.7140119075775146,0.7171667218208313,0.7014070749282837,1,0.7171667218208313,0.7140119075775146,0.0031548142433166504,0.015759646892547607,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
5,1.0,A,mainline,True,False,47.45999999999998,19.400000000000006,0,maintain,0.0,0.0,41.000000000000014,22.00000000000003,0,1,maintain-accelerate,0.5868452787399292,0.5832278728485107,0.5827730298042297,0,0.5868452787399292,0.5832278728485107,0.003617405891418457,0.004072248935699463,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
5,1.0,B,ramp,True,False,41.000000000000014,22.00000000000003,1,accelerate,2.0,2.0000000000000284,47.45999999999998,19.400000000000006,0,1,maintain-accelerate,0.7082422971725464,0.7105339169502258,0.6953784227371216,1,0.7105339169502258,0.7082422971725464,0.0022916197776794434,0.015155494213104248,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
6,1.2000000000000002,A,mainline,True,False,51.339999999999975,19.400000000000006,0,maintain,0.0,0.0,45.44000000000002,22.400000000000034,0,1,maintain-accelerate,0.5845137238502502,0.580199122428894,0.582492470741272,0,0.5845137238502502,0.582492470741272,0.0020212531089782715,0.004314601421356201,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
6,1.2000000000000002,B,ramp,True,False,45.44000000000002,22.400000000000034,1,accelerate,2.0,2.0000000000000284,51.339999999999975,19.400000000000006,0,1,maintain-accelerate,0.7048380374908447,0.7068310976028442,0.6919581294059753,1,0.7068310976028442,0.7048380374908447,0.0019930601119995117,0.014872968196868896,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
7,1.4000000000000001,A,mainline,True,False,55.21999999999997,19.400000000000006,0,maintain,0.0,0.0,49.96000000000003,22.80000000000004,0,1,maintain-accelerate,0.5844794511795044,0.5803669691085815,0.5836243033409119,0,0.5844794511795044,0.5836243033409119,0.0008551478385925293,0.0041124820709228516,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
7,1.4000000000000001,B,ramp,True,False,49.96000000000003,22.80000000000004,1,accelerate,2.0,2.0000000000000284,55.21999999999997,19.400000000000006,0,1,maintain-accelerate,0.7056714296340942,0.7075695991516113,0.693030059337616,1,0.7075695991516113,0.7056714296340942,0.0018981695175170898,0.014539539813995361,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
