success,collision,truncation,terminated,truncated,termination_reason,episode_length,exit_step_agent_0,exit_step_agent_1,passing_order,controller_role_mapping,failure_category,primary_failure_label,reward_progress_A,reward_exit_A,reward_collision_A,reward_hard_braking_A,reward_active_time_A,reward_total_A,reward_progress_B,reward_exit_B,reward_collision_B,reward_hard_braking_B,reward_active_time_B,reward_total_B,stage,protocol_tag,code_commit,master_seed,checkpoint,checkpoint_step,checkpoint_sha256,scenario_block,assignment,eval_seed,episode_index,swap_pair_id,validation_block_id,template_validation_index
False,True,False,True,False,collision,22,,,,"{""A"": ""mainline"", ""B"": ""ramp""}",collision,,0.13076923076923075,0.0,-1.0,0.0,-0.011000000000000006,-0.8802307692307693,0.13593147064344963,0.0,-1.0,0.0,-0.011000000000000006,-0.8750685293565502,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,0,0,193307076,0,stage8-gate-protocol-v1:ms65021:ckpt0:b0,validation_001,0
True,False,False,True,False,success,61,61,43,mainline_first,"{""A"": ""ramp"", ""B"": ""mainline""}",success,,0.36925322989290926,0.6,0.0,0.0,-0.030500000000000024,0.9387532298929092,0.3569230769230771,0.6,0.0,0.0,-0.021500000000000016,0.9354230769230771,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,0,1,193307076,1,stage8-gate-protocol-v1:ms65021:ckpt0:b0,validation_001,0
True,False,False,True,False,success,63,63,56,ramp_first,"{""A"": ""mainline"", ""B"": ""ramp""}",success,,0.34892307692307717,0.6,0.0,0.0,-0.03150000000000002,0.9174230769230771,0.331127234960116,0.6,0.0,0.0,-0.02800000000000002,0.903127234960116,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,1,0,1931543114,2,stage8-gate-protocol-v1:ms65021:ckpt0:b1,validation_002,1
True,False,False,True,False,success,68,68,44,mainline_first,"{""A"": ""ramp"", ""B"": ""mainline""}",success,,0.33112723496011603,0.6,0.0,0.0,-0.03400000000000002,0.897127234960116,0.34892307692307706,0.6,0.0,0.0,-0.022000000000000016,0.9269230769230771,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,1,1,1931543114,3,stage8-gate-protocol-v1:ms65021:ckpt0:b1,validation_002,1
True,False,False,True,False,success,63,58,63,mainline_first,"{""A"": ""mainline"", ""B"": ""ramp""}",success,,0.3569230769230767,0.6,0.0,0.0,-0.029000000000000022,0.9279230769230767,0.3409662013943855,0.6,0.0,0.0,-0.03150000000000002,0.9094662013943853,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,2,0,1207413648,4,stage8-gate-protocol-v1:ms65021:ckpt0:b2,validation_003,2
True,False,False,True,False,success,70,70,43,mainline_first,"{""A"": ""ramp"", ""B"": ""mainline""}",success,,0.34096620139438516,0.6,0.0,0.0,-0.035000000000000024,0.9059662013943851,0.3569230769230771,0.6,0.0,0.0,-0.021500000000000016,0.9354230769230771,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,2,1,1207413648,5,stage8-gate-protocol-v1:ms65021:ckpt0:b2,validation_003,2
True,False,False,True,False,success,63,63,51,ramp_first,"{""A"": ""mainline"", ""B"": ""ramp""}",success,,0.34892307692307717,0.6,0.0,0.0,-0.03150000000000002,0.9174230769230771,0.363103875871491,0.6,0.0,0.0,-0.02550000000000002,0.937603875871491,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,3,0,2082263854,6,stage8-gate-protocol-v1:ms65021:ckpt0:b3,validation_004,3
True,False,False,True,False,success,60,60,44,mainline_first,"{""A"": ""ramp"", ""B"": ""mainline""}",success,,0.36310387587149107,0.6,0.0,0.0,-0.030000000000000023,0.933103875871491,0.34892307692307706,0.6,0.0,0.0,-0.022000000000000016,0.9269230769230771,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,3,1,2082263854,7,stage8-gate-protocol-v1:ms65021:ckpt0:b3,validation_004,3
True,False,False,True,False,success,70,70,47,ramp_first,"{""A"": ""mainline"", ""B"": ""ramp""}",success,,0.3409230769230765,0.6,0.0,0.0,-0.035000000000000024,0.9059230769230766,0.35080516782865456,0.6,0.0,0.0,-0.023500000000000017,0.9273051678286546,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,4,0,1151344375,8,stage8-gate-protocol-v1:ms65021:ckpt0:b4,validation_005,4
True,False,False,True,False,success,58,58,46,mainline_first,"{""A"": ""ramp"", ""B"": ""mainline""}",success,,0.3508051678286546,0.6,0.0,0.0,-0.029000000000000022,0.9218051678286545,0.3409230769230771,0.6,0.0,0.0,-0.023000000000000017,0.9179230769230771,stage8_gate,stage8-gate-protocol-v1,88139f9b4d723e33023678f937d26c7f0b34c80b,65021,0,0,ed55fca737adddcc4c9202c92e9d214b1ce77025a254be34d5113eac2e54aba4,4,1,1151344375,9,stage8-gate-protocol-v1:ms65021:ckpt0:b4,validation_005,4
