policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,1,accelerate-accelerate,0.8415688872337341,0.852576732635498,0.8198760747909546,1,0.852576732635498,0.8415688872337341,0.011007845401763916,0.03270065784454346,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
0,0.0,B,ramp,True,False,20.0,20.0,1,accelerate,0.0,2.0000000000000284,28.0,20.0,1,1,accelerate-accelerate,0.7685571908950806,0.7893015742301941,0.7272975444793701,1,0.7893015742301941,0.7685571908950806,0.020744383335113525,0.062004029750823975,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
0,0.0,B_front,background_mainline,True,,120.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
0,0.0,B_rear,background_mainline,True,,3.947431380829863,19.510886076666747,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,1,accelerate,2.0,2.0000000000000284,24.040000000000003,20.400000000000006,1,1,accelerate-accelerate,0.8270049691200256,0.8370591998100281,0.8054972887039185,1,0.8370591998100281,0.8270049691200256,0.010054230690002441,0.03156191110610962,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
1,0.2,B,ramp,True,False,24.040000000000003,20.400000000000006,1,accelerate,2.0,2.0000000000000284,32.04,20.400000000000006,1,1,accelerate-accelerate,0.7728918790817261,0.7897346019744873,0.7395598888397217,1,0.7897346019744873,0.7728918790817261,0.01684272289276123,0.050174713134765625,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
1,0.2,B_front,background_mainline,True,,124.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
1,0.2,B_rear,background_mainline,True,,7.817030369943869,19.207819996757216,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
2,0.4,A,mainline,True,False,36.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,28.160000000000004,20.80000000000001,1,1,accelerate-accelerate,0.8132551312446594,0.8224914073944092,0.7918097972869873,1,0.8224914073944092,0.8132551312446594,0.009236276149749756,0.030681610107421875,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
2,0.4,B,ramp,True,False,28.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,36.160000000000004,20.80000000000001,1,1,accelerate-accelerate,0.7777348756790161,0.7902552485466003,0.7527379989624023,1,0.7902552485466003,0.7777348756790161,0.012520372867584229,0.037517249584198,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
2,0.4,B_front,background_mainline,True,,128.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
2,0.4,B_rear,background_mainline,True,,11.638681751220439,19.023670782632877,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
3,0.6000000000000001,A,mainline,True,False,40.36000000000001,21.200000000000017,1,accelerate,2.0,2.0000000000000284,32.36000000000001,21.200000000000017,1,1,accelerate-accelerate,0.8022540807723999,0.810721755027771,0.7811435461044312,1,0.810721755027771,0.8022540807723999,0.008467674255371094,0.029578208923339844,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
3,0.6000000000000001,B,ramp,True,False,32.36000000000001,21.200000000000017,1,accelerate,2.0,2.0000000000000284,40.36000000000001,21.200000000000017,1,1,accelerate-accelerate,0.7805066704750061,0.7883187532424927,0.7637026906013489,1,0.7883187532424927,0.7805066704750061,0.007812082767486572,0.0246160626411438,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
3,0.6000000000000001,B_front,background_mainline,True,,132.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
3,0.6000000000000001,B_rear,background_mainline,True,,15.431954034371113,18.919276915308803,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
4,0.8,A,mainline,True,False,44.64000000000001,21.600000000000023,1,accelerate,2.0,2.0000000000000284,36.64000000000001,21.600000000000023,1,1,accelerate-accelerate,0.8009994626045227,0.8086233139038086,0.7815229892730713,1,0.8086233139038086,0.8009994626045227,0.007623851299285889,0.027100324630737305,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
4,0.8,B,ramp,True,False,36.64000000000001,21.600000000000023,1,accelerate,2.0,2.0000000000000284,44.64000000000001,21.600000000000023,1,1,accelerate-accelerate,0.7795159220695496,0.780802845954895,0.766944169998169,1,0.780802845954895,0.7795159220695496,0.001286923885345459,0.013858675956726074,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
4,0.8,B_front,background_mainline,True,,136.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
4,0.8,B_rear,background_mainline,True,,19.21015294496658,18.869811826831636,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
5,1.0,A,mainline,True,False,49.000000000000014,22.00000000000003,1,accelerate,2.0,2.0000000000000284,41.000000000000014,22.00000000000003,1,0,accelerate-maintain,0.7993348836898804,0.8061530590057373,0.7813955545425415,1,0.8061530590057373,0.7993348836898804,0.006818175315856934,0.0247575044631958,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
5,1.0,B,ramp,True,False,41.000000000000014,22.00000000000003,0,maintain,2.0,0.0,49.000000000000014,22.00000000000003,1,0,accelerate-maintain,0.7814929485321045,0.7791892886161804,0.7712347507476807,0,0.7814929485321045,0.7791892886161804,0.0023036599159240723,0.010258197784423828,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
5,1.0,B_front,background_mainline,True,,140.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
5,1.0,B_rear,background_mainline,True,,22.982495064768763,18.858543950116044,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
6,1.2000000000000002,A,mainline,True,False,53.44000000000002,22.400000000000034,1,accelerate,2.0,2.0000000000000284,45.40000000000002,22.00000000000003,1,0,accelerate-maintain,0.804375410079956,0.8104970455169678,0.7891300916671753,1,0.8104970455169678,0.804375410079956,0.006121635437011719,0.02136695384979248,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
6,1.2000000000000002,B,ramp,True,False,45.40000000000002,22.00000000000003,0,maintain,0.0,0.0,53.44000000000002,22.400000000000034,1,0,accelerate-maintain,0.7813478708267212,0.7781990766525269,0.7716386318206787,0,0.7813478708267212,0.7781990766525269,0.003148794174194336,0.00970923900604248,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
6,1.2000000000000002,B_front,background_mainline,True,,144.0,20.0,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
6,1.2000000000000002,B_rear,background_mainline,True,,26.755377931069873,18.8736575091406,,,,,,,,,,,,,,,,,,,,,,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
7,1.4000000000000001,A,mainline,True,False,57.96000000000003,22.80000000000004,1,accelerate,2.0,2.0000000000000284,49.800000000000026,22.00000000000003,1,0,accelerate-maintain,0.798600435256958,0.8043326139450073,0.7841243743896484,1,0.8043326139450073,0.798600435256958,0.005732178688049316,0.020208239555358887,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
7,1.4000000000000001,B,ramp,True,False,49.800000000000026,22.00000000000003,0,maintain,0.0,0.0,57.96000000000003,22.80000000000004,1,0,accelerate-maintain,0.7810717821121216,0.7776497602462769,0.7715660333633423,0,0.7810717821121216,0.7776497602462769,0.0034220218658447266,0.009505748748779297,"[true, true, true]",False,False,False,65026,350000,96fbfbcca1266b4cf7a0a7634450be82795babd696e50582b6a3e986170e0e66,validation_001,0,0,389111307,0,,
