policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,1,accelerate-accelerate,0.7558014392852783,0.7761106491088867,0.7227334380149841,1,0.7761106491088867,0.7558014392852783,0.0203092098236084,0.05337721109390259,"[true, true, true]",False,False,False,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
0,0.0,B,ramp,True,False,20.0,20.0,1,accelerate,0.0,2.0000000000000284,28.0,20.0,1,1,accelerate-accelerate,0.6158427000045776,0.6333456039428711,0.5821402668952942,1,0.6333456039428711,0.6158427000045776,0.017502903938293457,0.051205337047576904,"[true, true, true]",False,False,False,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
0,0.0,B_front,background_mainline,True,,120.0,20.0,,,,,,,,,,,,,,,,,,,,,,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
0,0.0,B_rear,background_mainline,True,,3.947431380829863,19.510886076666747,,,,,,,,,,,,,,,,,,,,,,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,1,accelerate,2.0,2.0000000000000284,24.040000000000003,20.400000000000006,1,1,accelerate-accelerate,0.7506153583526611,0.7716765403747559,0.7219361662864685,1,0.7716765403747559,0.7506153583526611,0.021061182022094727,0.049740374088287354,"[true, true, true]",False,False,False,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
1,0.2,B,ramp,True,False,24.040000000000003,20.400000000000006,1,accelerate,2.0,2.0000000000000284,32.04,20.400000000000006,1,1,accelerate-accelerate,0.6205391883850098,0.6353570818901062,0.5877737998962402,1,0.6353570818901062,0.6205391883850098,0.014817893505096436,0.04758328199386597,"[true, true, true]",False,False,False,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
1,0.2,B_front,background_mainline,True,,124.0,20.0,,,,,,,,,,,,,,,,,,,,,,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
1,0.2,B_rear,background_mainline,True,,7.817030369943869,19.207819996757216,,,,,,,,,,,,,,,,,,,,,,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
2,0.4,A,mainline,True,False,36.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,28.160000000000004,20.80000000000001,1,1,accelerate-accelerate,0.749349057674408,0.7703890800476074,0.723535418510437,1,0.7703890800476074,0.749349057674408,0.021040022373199463,0.04685366153717041,"[true, true, true]",False,False,False,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
2,0.4,B,ramp,True,False,28.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,36.160000000000004,20.80000000000001,1,1,accelerate-accelerate,0.6286380290985107,0.6389371156692505,0.599179744720459,1,0.6389371156692505,0.6286380290985107,0.010299086570739746,0.039757370948791504,"[true, true, true]",False,False,False,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
2,0.4,B_front,background_mainline,True,,128.0,20.0,,,,,,,,,,,,,,,,,,,,,,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
2,0.4,B_rear,background_mainline,True,,11.638681751220439,19.023670782632877,,,,,,,,,,,,,,,,,,,,,,66020,375000,af9ea0bcfa71e598d71c7caf0b3182aad6b27bd5d30242555301865a96161aad,validation_001,0,0,1878521653,0,,
