episode,total_reward,mean_reward,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,steps,terminated,truncated
0,8.560497610596503,0.8560497610596502,0.4763029662567906,-0.7459545984487288,0.6541985575781191,0.10376519219164437,0.41248331461826804,2,2,5.0,10,True,False
1,5.18767933781412,0.86461322296902,0.4738044161968922,-0.45349474894340547,0.6727866757198607,0.11446292223037206,0.3436614728796745,2,2,5.0,6,True,False
2,5.095813747115244,0.849302291185874,0.4478724908574742,-0.6375975963992728,0.6654235627985444,0.1220205955537712,0.3675525842476568,2,2,5.0,6,True,False
3,4.043546797557433,0.8087093595114865,0.29836560395590844,-0.811284344899412,0.6212759190638144,0.15075859762185811,0.36765304249809283,2,2,5.0,5,True,False
4,9.362906320946884,0.8511733019042622,0.4467742666409494,-0.7927380847136791,0.6306547660696635,0.08467958939734194,0.3702504825061175,2,2,5.0,11,True,False
5,7.469633068380547,0.8299592298200609,0.469907834636894,-0.7034002238156305,0.6486072812116694,0.08603601466415246,0.35133469150989516,2,2,5.0,9,True,False
6,4.015769019779654,0.8031538039559308,0.3021677035776844,-0.8101929855332705,0.6219043203599197,0.14986055985671848,0.3677746226421734,2,2,5.0,5,True,False
7,3.138888888888889,0.7847222222222222,0.3312896276940057,-0.4997816422652097,0.6554062503445144,0.14346481147607743,0.3032961477874483,2,2,5.0,4,True,False
8,4.782516614550514,0.7970861024250856,0.3636275730560355,-0.6710040825805768,0.6197347924133941,0.12423901129971664,0.37498370436374673,2,2,5.0,6,True,False
9,6.806721765949965,0.8508402207437457,0.4749252820769153,-0.7074472375623513,0.653506218114274,0.09726333680050211,0.38673173745782385,2,2,5.0,8,True,False
10,8.030230406685048,0.8030230406685048,0.4273389927917536,-0.6413997010540632,0.6343613611209904,0.12449436529347555,0.42211061027030894,2,2,5.0,10,True,False
11,10.576108408322542,0.8135468006401955,0.4445170786366636,-0.4191923977309059,0.6371062457191462,0.0948032753955696,0.35155795344936713,2,2,5.0,13,True,False
12,6.521124150901978,0.8151405188627473,0.4026031911717145,-0.6805481313435762,0.6078537011406606,0.1040467131810574,0.3903054531346213,2,2,5.0,8,True,False
13,11.38033418980945,0.8754103222930346,0.5015761285045399,0.4779922656037105,0.6801846141086602,0.10482713247935344,0.10387206711103225,0,0,5.0,13,True,False
14,12.937888496641103,0.8625258997760735,0.5646034349915777,0.5746239268801615,0.6695006974647301,0.04908072768858854,0.029791336443129923,0,0,5.0,15,True,False
15,9.369564288890206,0.8517785717172915,0.4832768224963715,-0.7465512780208128,0.6383761925201283,0.07170049214070541,0.3778673109988664,2,2,5.0,11,True,False
16,4.179259259259259,0.8358518518518517,0.4503444115083129,-0.40852628256459733,0.6753517048030668,0.12684436254044104,0.33797657813705695,2,2,5.0,5,True,False
17,11.112155777743475,0.854781213672575,0.45478719692918645,0.3677080637962634,0.6687490498091297,0.11687552906228908,0.1727770015329888,0,0,5.0,13,True,False
18,3.913937864918566,0.7827875729837132,0.28334354344093216,-0.7746674481017016,0.6215974931324771,0.14909825841735672,0.3549660697963215,2,2,5.0,5,True,False
19,10.542184871574278,0.8785154059645232,0.4887543046067519,-0.5277324987357657,0.6499316653315382,0.09841261603954754,0.36880848087415496,2,2,5.0,12,True,False
20,8.552099016014367,0.8552099016014367,0.48327595862275763,-0.6768028481851331,0.6606457866735911,0.10296387621050349,0.3908806466035992,2,2,5.0,10,True,False
21,13.384012181756706,0.8922674787837804,0.5630004147097908,0.5150055252429532,0.6704285774720431,0.05024217324388022,0.04013303995093587,0,0,5.0,15,True,False
22,13.264392949460431,0.829024559341277,0.46935396416126596,0.4685632061824369,0.6448831629925758,0.07410204426893956,0.1003514399293588,0,0,5.0,16,True,False
23,9.91214818513553,0.8260123487612941,0.4707330254611531,-0.6921775348254317,0.6122179860890388,0.07196977830347485,0.4003614237441173,2,2,5.0,12,True,False
24,4.985867357514469,0.8309778929190782,0.3678750242353932,-0.6282592241977557,0.6211153201270573,0.11929266307382817,0.3810372569374534,2,2,5.0,6,True,False
25,11.39279686335956,0.8137712045256829,0.4894310454391963,-0.6999463188740462,0.6254321928284493,0.06597253386930473,0.3891920946560834,2,2,5.0,14,True,False
26,5.655051003299956,0.8078644290428508,0.38969064914146573,-0.7021816978174537,0.6272518822673543,0.11481790531057608,0.3668113888599609,2,2,5.0,7,True,False
27,10.318181638979032,0.8598484699149194,0.5051873767734089,-0.4191417838729683,0.6625132823752558,0.08575148610903405,0.34252853268703887,2,2,5.0,12,True,False
28,5.938962817500534,0.8484232596429334,0.5148716648926026,-0.3754548463407682,0.6915541294747836,0.111802642869076,0.3386723966565901,2,2,5.0,7,True,False
29,4.904657908668543,0.8174429847780905,0.42915700136133794,-0.742623960126862,0.6557728401110237,0.12449208769002203,0.38102861984279923,2,2,5.0,6,True,False
30,11.909878945039738,0.916144534233826,0.5369016583206337,0.5586920327203588,0.6866301768680974,0.09339891695984372,0.03621601604804847,0,0,5.0,13,True,False
31,11.111376994719773,0.7407584663146516,0.39458976602174156,-0.011006677368760607,0.6357165487990528,0.09828183420011415,0.20108790641141838,0,0,5.0,15,True,False
