metric,baseline_mean,baseline_std,rawlsian_mean,rawlsian_std,difference_rawlsian_minus_baseline
total_reward,7.469227643665383,2.9883584289086667,5.995582610658106,2.8882648989866153,-1.4736450330072772
mean_reward,0.8380252395089666,0.031207192637972288,0.7415178997259286,0.0728605232122738,-0.09650733978303794
mean_min_experience,0.44028816372421736,0.06782946289862699,0.43398095484439364,0.07373079644141545,-0.0063072088798237225
final_min_experience,-0.45681884272472645,0.4058296707411424,-0.5152674301571027,0.3481748884853734,-0.0584485874323763
mean_vehicle_experience,0.6509207275074086,0.02077626918646969,0.650217703866208,0.020762400466061606,-0.0007030236412005619
mean_gini_experience,0.1106989574075762,0.024607563264997256,0.11286398572146725,0.026567813221866375,0.0021650283138910514
final_gini_experience,0.32890214340915586,0.10391345368358756,0.3423890169572052,0.0923203006915357,0.013486873548049338
total_collision_count,1.67,0.7661394761854378,1.82,0.5752469825293227,0.15000000000000013
final_collision_count,1.67,0.7661394761854378,1.82,0.5752469825293227,0.15000000000000013
mean_n_vehicles,5.0,0.0,5.0,0.0,0.0
steps,8.89,3.5072651868527265,7.94,3.3206425081099393,-0.9500000000000002
