episode,total_reward,mean_reward,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,steps,terminated,truncated
0,10.3231064842584,0.7940851141737231,0.8556235757121846,-0.06153846153846154,-0.8,0.488833531861424,-0.6674589563910063,0.653373379809625,0.08908209661046292,0.3920758314420576,2,2,5.0,13,True,False
1,5.991498552938519,0.8559283647055027,0.8844997932769313,-0.028571428571428574,-0.2,0.4618568615469338,-0.7265514040488843,0.6644810901471914,0.11874832511689079,0.38237119165058275,2,2,5.0,7,True,False
2,6.489812212597338,0.6489812212597338,0.8089812212597339,-0.15999999999999998,-1.5999999999999999,0.5012386296611455,-0.33294806112263386,0.6633165461632481,0.09659771657729836,0.36849093823507806,2,2,5.0,10,True,False
3,10.954651700001431,0.7824751214286737,0.8253322642858165,-0.042857142857142864,-0.6000000000000001,0.4037425990826513,0.21307394901008783,0.6514606586335143,0.13003096881938062,0.21076971892186025,0,0,5.0,14,True,False
4,4.417168123412981,0.7361946872354969,0.836194687235497,-0.10000000000000002,-0.6000000000000001,0.436851748333748,-0.6835597843016012,0.6629994028166826,0.12456048367723511,0.37469573882861384,2,2,5.0,6,True,False
5,6.0099169621241755,0.6677685513471306,0.8233241069026861,-0.15555555555555556,-1.4,0.4888522693368677,-0.5872191892520497,0.6527703293437149,0.07909554056853303,0.325073676268663,2,2,5.0,9,True,False
6,14.385347241376524,0.9590231494251016,0.9056898160917684,0.05333333333333334,0.8,0.5658899947609951,0.636152148385078,0.6791782162549569,0.060449824264072305,0.07529175916795317,0,0,5.0,15,True,False
7,4.2702269367037085,0.711704489450618,0.8117044894506179,-0.10000000000000002,-0.6000000000000001,0.376786526249239,-0.5749092799037198,0.6173319563444478,0.122515689813348,0.38175280103760034,2,2,5.0,6,True,False
8,3.382435686446321,0.6764871372892642,0.8364871372892642,-0.16,-0.8,0.2996701929782901,-0.8069520474083567,0.6230559908506913,0.15151908893315874,0.37073201954105417,2,2,5.0,5,True,False
9,5.185793676605955,0.740827668086565,0.8551133823722792,-0.1142857142857143,-0.8,0.4994600522485639,-0.41620734268828097,0.6694809304653112,0.09781918455026799,0.34941176633328985,2,2,5.0,7,True,False
10,7.9108643701239725,0.659238697510331,0.7425720308436645,-0.08333333333333333,-1.0,0.39346006207758505,-0.665545791221759,0.6214911268911149,0.12744454262842939,0.4673381883822514,2,2,5.0,12,True,False
11,7.20416013298086,0.6549236484528055,0.8003781939073509,-0.14545454545454545,-1.5999999999999999,0.43491081306593665,-0.7279469735170655,0.6333820393529801,0.10196363250034826,0.41306112721167687,2,2,5.0,11,True,False
12,5.88419921825362,0.7355249022817025,0.8105249022817027,-0.07500000000000001,-0.6000000000000001,0.4353229721315914,-0.6264391394192087,0.6164468226289973,0.0973122498024856,0.4029396296173504,2,2,5.0,8,True,False
13,2.5876790123456788,0.6469197530864197,0.7969197530864198,-0.15000000000000002,-0.6000000000000001,0.323490834921718,-0.5615708496587029,0.6377747701585609,0.14698886881690026,0.3279463505557638,2,2,5.0,4,True,False
14,4.472723678968538,0.7454539464947563,0.8454539464947564,-0.10000000000000002,-0.6000000000000001,0.438808952206807,-0.6836742674627404,0.6633134322140641,0.12304611955845839,0.37443544110549754,2,2,5.0,6,True,False
15,7.9865079192038815,0.7260461744730802,0.8169552653821713,-0.09090909090909091,-1.0,0.4726009528463683,-0.6360478696998484,0.635698617486323,0.07814582989899467,0.37222771409305877,2,2,5.0,11,True,False
16,5.862034762782971,0.7327543453478714,0.8327543453478714,-0.1,-0.8,0.47866199246338387,-0.6403335919494092,0.6565058729316994,0.10192661248237628,0.38321851913184957,2,2,5.0,8,True,False
17,3.1390776417501405,0.6278155283500281,0.7878155283500282,-0.16,-0.8,0.32957278415337166,-0.7133547397510036,0.623436909594185,0.14391842235300292,0.37264686673292235,2,2,5.0,5,True,False
18,9.639303229284915,0.8763002935713559,0.8763002935713559,-5.046468293750712e-18,-5.551115123125783e-17,0.4372779293809978,-0.5591497038069193,0.6376791141461582,0.1083518970801774,0.3852507274380328,2,2,5.0,11,True,False
19,3.369608993646813,0.6739217987293626,0.8339217987293628,-0.16,-0.8,0.3473641491049073,-0.6046691837787268,0.628631810985081,0.1327655376270312,0.33467911821473373,2,2,5.0,5,True,False
20,5.31834899397792,0.7597641419968457,0.87404985628256,-0.1142857142857143,-0.8,0.4766463812807137,-0.613578696021909,0.6611441123088716,0.1040596543582217,0.3808158179025998,2,2,5.0,7,True,False
21,6.041637340628767,0.7552046675785958,0.8802046675785957,-0.125,-1.0,0.5011424698903705,-0.526742109745151,0.6773067644040761,0.10922974632651303,0.3622486618220697,2,2,5.0,8,True,False
22,6.37072231684243,0.637072231684243,0.7970722316842429,-0.15999999999999998,-1.5999999999999999,0.4667793827600078,-0.6413032538373657,0.6394493529177819,0.0961800325596226,0.4224334904073439,2,2,5.0,10,True,False
23,14.281782921057607,0.9521188614038405,0.8987855280705069,0.05333333333333334,0.8,0.5360780815914715,0.6196853074670448,0.6695394548879676,0.07097810705208314,0.05981303048381048,0,0,5.0,15,True,False
24,6.533423401548364,0.8166779251935455,0.8416779251935453,-0.025,-0.2,0.4353210003669168,-0.6646645852322485,0.6543154844095035,0.12511683308397828,0.3851216037761711,2,2,5.0,8,True,False
