episode,total_reward,mean_reward,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,rawlsian_scope,ego_neighbourhood_radius,experience_mode,mean_scoped_vehicle_count,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,mean_mobility_score,mean_risk_penalty,mean_low_speed_penalty,mean_collision_penalty,reason_collision_steps,reason_low_mobility_steps,reason_low_speed_steps,reason_risk_steps,reason_none_steps,reason_combined_steps,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,steps,terminated,truncated
0,3.9824356864463213,0.6637392810743868,0.8637392810743868,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,4.0,-0.04575639148371635,-2.189642753988851,0.2660920473841617,0.1988935166472873,0.4823478337769842,2,2,5.0,0.7418837405917316,0.6182500530818064,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,19.50744141505954,1,6,True,False
1,5.328109077739057,0.6660136347173822,0.8660136347173821,-0.19999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,4.0,0.0473473325123443,-1.7836271256289478,0.2722720696353734,0.20199183881068825,0.4880446051274445,2,2,5.0,0.7288081425659552,0.6630721458611634,0.0,0.0625,1,0,0,7,0,0,0,8,0.0,20.749099979061366,1,8,True,False
2,8.652553810605154,0.6180395579003681,0.760896700757511,-0.14285714285714285,-1.9999999999999998,ego_neighbourhood,50.0,safety_mobility,3.9285714285714284,-0.0047642931125248455,-2.1780871153470893,0.23670287960329933,0.20532365417084414,0.49168375644204954,2,2,5.0,0.6578967530232477,0.6995306039827541,0.0,0.03571428571428571,1,7,0,6,0,0,0,14,0.0,15.183877135529881,1,14,True,False
3,3.1388574628642565,0.6277714925728513,0.8277714925728512,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,4.0,-0.16531925412361978,-2.200126150539683,0.29993242476249315,0.20604338397970684,0.3929054302305557,2,2,5.0,0.7281498112513521,0.5364347729777179,0.0,0.08,1,3,0,1,0,0,0,5,0.0,16.459993915786995,1,5,True,False
4,4.006924858226355,0.6678208097043924,0.8678208097043925,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.8333333333333335,-0.05249315537771267,-2.1119774031352287,0.2645367132954401,0.21494816094302094,0.4740681354328453,2,2,5.0,0.7580450706274505,0.6536833813306875,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,20.05217401462197,1,6,True,False
5,3.271012345679012,0.6542024691358024,0.8542024691358024,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.6,0.004816177319169413,-1.8972628402431515,0.3091168891117209,0.17319137000033108,0.45811740510728916,2,2,5.0,0.7902998890616584,0.562365999899875,0.0,0.1,1,2,0,2,0,0,0,5,0.0,21.257361066634775,1,5,True,False
6,5.57925925925926,0.7970370370370371,0.8827513227513226,-0.08571428571428573,-0.6000000000000001,ego_neighbourhood,50.0,safety_mobility,3.7142857142857144,-0.017799312975647137,-1.8661662673184538,0.297083781469691,0.23403587904349524,0.46830641001174667,2,2,5.0,0.742477428457993,0.6050730082623187,0.0,0.07142857142857142,1,4,0,2,0,0,0,7,0.0,18.242807153335157,1,7,True,False
7,5.883718884276131,0.7354648605345164,0.8354648605345163,-0.1,-0.8,ego_neighbourhood,50.0,safety_mobility,4.0,-0.03032875778381111,-2.1369232806712786,0.2702933872832706,0.2207420827850988,0.4874920611953857,2,2,5.0,0.7229936273055625,0.655400480044584,0.0,0.0625,1,2,0,5,0,0,0,8,0.0,18.00698608843551,1,8,True,False
8,10.288266953774123,0.7914051502903171,0.8683282272133943,-0.07692307692307693,-1.0,ego_neighbourhood,50.0,safety_mobility,3.3846153846153846,0.21437842317711653,0.49590742431051765,0.4170964345276519,0.262561696484298,0.09588506249866513,0,0,5.0,0.7085197353334897,0.5828466016116758,0.0,0.0,0,11,0,2,0,0,0,13,0.0,15.414577696539052,0,13,True,False
9,6.991976735139254,0.6991976735139254,0.8591976735139253,-0.15999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,4.4,0.05647990723757439,-2.1844476821852195,0.28382812721611783,0.18931751494698085,0.4679563113720795,2,2,5.0,0.6924829965716613,0.617309738711087,0.0,0.05,1,2,0,7,0,0,0,10,0.0,18.72736722532455,1,10,True,False
